"dataset_name","analyses","any_mismatch","direction_mismatch","significance_mismatch","mismatch_rate","double_zero_rows","sparse_rows","any_zero_rows","all_events_rows","invalid_binary_rows","event_rate"
"CD015160_pub2_data",2,2,0,2,1,12,13,14,0,0,0.0303
"CD015192_pub2_data",1,1,1,0,1,1,3,3,0,0,0.0337
"CD015213_pub2_data",2,2,1,1,1,19,28,29,0,0,0.0339
"CD015215_pub2_data",6,6,3,3,1,24,29,27,10,10,0.0575
"CD015219_pub2_data",2,2,2,0,1,1,3,2,0,0,0.0688
"CD015254_pub2_data",3,3,0,3,1,0,0,0,0,0,0.6935
"CD015255_pub2_data",4,4,1,3,1,1,3,3,0,0,0.5716
"CD015314_pub2_data",1,1,0,1,1,0,0,0,0,0,0.218
"CD015331_pub2_data",5,5,2,3,1,3,17,11,0,0,0.2171
"CD015332_pub2_data",3,3,1,2,1,10,18,13,0,0,0.0925
"CD015373_pub2_data",2,2,0,2,1,1,9,6,0,0,0.118
"CD015387_pub2_data",2,2,0,2,1,2,5,3,0,0,0.116
"CD015395_pub3_data",1,1,0,1,1,0,0,1,0,0,0.01
"CD015432_pub2_data",1,1,1,0,1,12,12,12,0,0,0.0652
"CD015443_pub2_data",1,1,1,0,1,0,10,5,0,0,0.0063
"CD015476_pub2_data",2,2,0,2,1,0,2,2,0,0,0.042
"CD015514_pub2_data",2,2,1,1,1,0,0,0,0,0,0.1425
"CD015524_pub2_data",1,1,1,0,1,5,5,5,0,0,0.2564
"CD015530_pub2_data",2,2,0,2,1,0,1,0,0,0,0.2649
"CD015532_data",4,4,1,3,1,2,8,7,0,0,0.3323
"CD015536_pub2_data",2,2,1,2,1,4,5,6,0,0,0.0496
"CD015551_pub2_data",1,1,0,1,1,0,1,0,0,0,0.0507
"CD015573_data",1,1,0,1,1,0,2,2,0,0,0.118
"CD015584_pub2_data",2,2,0,2,1,8,8,8,5,0,0.4876
"CD015588_pub2_data",5,5,1,4,1,28,35,33,3,3,0.0655
"CD015673_pub2_data",2,2,1,1,1,9,10,10,0,0,0.1425
"CD015698_pub2_data",1,1,1,0,1,0,2,1,0,0,0.0231
"CD015711_pub2_data",2,2,1,1,1,0,0,0,0,0,0.7425
"CD015721_pub2_data",2,2,1,1,1,0,0,0,0,0,0.3128
"CD015746_pub2_data",5,5,1,4,1,0,8,12,0,0,0.0067
"CD015779_data",1,1,0,1,1,0,1,1,0,0,0.1204
"CD015824_pub2_data",4,4,2,2,1,0,5,5,0,0,0.1381
"CD015849_pub2_data",9,9,3,6,1,47,80,65,8,8,0.0582
"CD015854_data",3,3,1,2,1,5,8,7,1,1,0.1294
"CD015855_data",2,2,1,1,1,2,3,3,0,0,0.3681
"CD015875_data",1,1,1,0,1,0,1,0,0,5,0.1733
"CD015932_pub2_data",3,3,0,3,1,0,0,3,0,2,0.3275
"CD016002_data",1,1,0,1,1,16,18,18,0,0,0.0057
"CD016031_data",6,6,4,2,1,9,28,21,0,6,0.0354
"CD016058_pub2_data",1,1,0,1,1,0,1,1,0,2,0.3212
"CD016064_data",1,1,1,0,1,9,11,11,0,0,0.025
"CD016119_data",2,2,2,0,1,0,2,2,0,0,0.0532
"CD016120_data",1,1,1,0,1,0,1,1,0,0,0.065
"CD016131_data",4,4,2,3,1,6,12,10,0,0,0.0444
"CD016147_data",1,1,1,0,1,0,0,0,0,0,0.1694
"CD016148_data",1,1,0,1,1,1,6,5,0,0,0.0203
"CD016168_data",5,5,2,3,1,2,6,4,0,0,0.2604
"CD016211_data",2,2,0,2,1,0,0,0,0,0,0.0141
"CD016278_data",2,2,2,0,1,0,2,1,0,0,0.0351
