"dataset_name","paired_analyses","mismatch_rate","issue1","issue1_count","issue1_rate","issue2","issue2_count","issue2_rate","issue3","issue3_count","issue3_rate","issue4","issue4_count","issue4_rate","issue5","issue5_count","issue5_rate"
"CD013474_pub2_data",NA,NA,"ci_mismatch",82,1,"exp_sd_le0",81,0.988,"ctrl_sd_le0",81,0.988,"sparse_events",57,0.695,"double_zero",51,0.622
"CD013508_pub3_data",NA,NA,"sparse_events",118,0.967,"double_zero",115,0.943,"ci_mismatch",95,0.779,"exp_sd_le0",21,0.172,"ctrl_sd_le0",21,0.172
"CD013571_pub2_data",NA,NA,"ci_mismatch",49,0.754,"double_zero",48,0.738,"sparse_events",48,0.738,"exp_sd_le0",33,0.508,"ctrl_sd_le0",33,0.508
"CD013591_pub2_data",NA,NA,"double_zero",70,1,"sparse_events",70,1,"ci_mismatch",44,0.629,"duplicate_study",29,0.414,"",0,NA
"CD013613_pub2_data",NA,NA,"ci_mismatch",66,0.892,"sparse_events",54,0.73,"double_zero",42,0.568,"exp_sd_le0",40,0.541,"ctrl_sd_le0",40,0.541
"CD013719_pub2_data",NA,NA,"exp_sd_le0",58,0.983,"ctrl_sd_le0",58,0.983,"ci_mismatch",41,0.695,"sparse_events",26,0.441,"double_zero",19,0.322
"CD013726_pub2_data",NA,NA,"ci_mismatch",65,0.793,"sparse_events",64,0.78,"double_zero",53,0.646,"exp_sd_le0",45,0.549,"ctrl_sd_le0",45,0.549
"CD013729_pub2_data",NA,NA,"sparse_events",25,0.962,"ci_mismatch",23,0.885,"double_zero",22,0.846,"exp_sd_le0",5,0.192,"ctrl_sd_le0",5,0.192
"CD013731_pub2_data",NA,NA,"exp_sd_le0",17,1,"ctrl_sd_le0",17,1,"ci_mismatch",17,1,"sparse_events",2,0.118,"double_zero",1,0.059
"CD013757_pub3_data",NA,NA,"exp_sd_le0",39,1,"ctrl_sd_le0",39,1,"ci_mismatch",37,0.949,"sparse_events",12,0.308,"double_zero",10,0.256
"CD013763_pub3_data",NA,NA,"ci_mismatch",352,0.889,"sparse_events",341,0.861,"double_zero",328,0.828,"exp_sd_le0",112,0.283,"ctrl_sd_le0",112,0.283
"CD013773_pub2_data",NA,NA,"ci_mismatch",23,1,"double_zero",16,0.696,"sparse_events",16,0.696,"duplicate_study",10,0.435,"exp_sd_le0",7,0.304
"CD013774_pub2_data",NA,NA,"ci_mismatch",44,0.917,"exp_sd_le0",43,0.896,"ctrl_sd_le0",43,0.896,"double_zero",33,0.688,"sparse_events",33,0.688
"CD013789_pub2_data",NA,NA,"double_zero",385,1,"sparse_events",385,1,"ci_mismatch",385,1,"duplicate_study",331,0.86,"",0,NA
"CD013810_pub2_data",NA,NA,"double_zero",34,1,"sparse_events",34,1,"ci_mismatch",31,0.912,"duplicate_study",5,0.147,"",0,NA
"CD013821_pub2_data",NA,NA,"ci_mismatch",86,0.956,"exp_sd_le0",56,0.622,"ctrl_sd_le0",56,0.622,"double_zero",34,0.378,"sparse_events",34,0.378
"CD013822_pub2_data",NA,NA,"ci_mismatch",72,0.8,"double_zero",49,0.544,"sparse_events",49,0.544,"duplicate_study",46,0.511,"exp_sd_le0",43,0.478
"CD013834_pub2_data",NA,NA,"double_zero",86,1,"sparse_events",86,1,"ci_mismatch",84,0.977,"duplicate_study",37,0.43,"",0,NA
"CD013835_pub2_data",NA,NA,"exp_n_le0",4,1,"ctrl_n_le0",4,1,"double_zero",4,1,"all_events",4,1,"sparse_events",4,1
"CD013857_pub2_data",NA,NA,"exp_sd_le0",3,1,"ctrl_sd_le0",3,1,"sparse_events",2,0.667,"ci_mismatch",2,0.667,"double_zero",1,0.333
"CD014040_pub2_data",NA,NA,"exp_sd_le0",48,1,"ctrl_sd_le0",48,1,"ci_mismatch",47,0.979,"duplicate_study",13,0.271,"sparse_events",4,0.083
"CD014160_pub2_data",NA,NA,"double_zero",6,1,"sparse_events",6,1,"ci_mismatch",6,1,"exp_sd_le0",2,0.333,"ctrl_sd_le0",2,0.333
"CD014428_pub2_data",NA,NA,"double_zero",42,1,"sparse_events",42,1,"ci_mismatch",22,0.524,"duplicate_study",1,0.024,"",0,NA
"CD014497_pub2_data",NA,NA,"exp_sd_le0",2,1,"ctrl_sd_le0",2,1,"ci_mismatch",2,1,"",0,NA,"",0,NA
"CD014573_data",NA,NA,"double_zero",12,1,"sparse_events",12,1,"exp_sd_le0",12,1,"ctrl_sd_le0",12,1,"ci_mismatch",12,1
"CD014574_pub2_data",NA,NA,"duplicate_study",8,0.133,"all_events",2,0.033,"sparse_events",2,0.033,"double_zero",1,0.017,"",0,NA
"CD014580_pub2_data",NA,NA,"ci_mismatch",32,0.97,"exp_sd_le0",21,0.636,"ctrl_sd_le0",21,0.636,"sparse_events",14,0.424,"double_zero",13,0.394
"CD014617_pub3_data",NA,NA,"exp_sd_le0",12,1,"ctrl_sd_le0",12,1,"ci_mismatch",9,0.75,"sparse_events",2,0.167,"",0,NA
"CD014623_pub2_data",NA,NA,"sparse_events",1,0.1,"",0,NA,"",0,NA,"",0,NA,"",0,NA
"CD014687_pub2_data",NA,NA,"ci_mismatch",37,0.974,"sparse_events",28,0.737,"double_zero",26,0.684,"duplicate_study",23,0.605,"exp_sd_le0",13,0.342
"CD014688_pub2_data",NA,NA,"double_zero",13,1,"sparse_events",13,1,"ci_mismatch",8,0.615,"duplicate_study",5,0.385,"",0,NA
"CD014713_pub2_data",NA,NA,"exp_sd_le0",15,1,"ctrl_sd_le0",15,1,"ci_mismatch",15,1,"duplicate_study",1,0.067,"",0,NA
"CD014722_pub2_data",NA,NA,"ci_mismatch",350,0.986,"sparse_events",339,0.955,"double_zero",337,0.949,"duplicate_study",64,0.18,"exp_sd_le0",23,0.065
"CD014755_pub2_data",NA,NA,"exp_sd_le0",8,0.8,"ctrl_sd_le0",8,0.8,"sparse_events",7,0.7,"ci_mismatch",7,0.7,"double_zero",4,0.4
"CD014758_pub3_data",NA,NA,"double_zero",274,1,"sparse_events",274,1,"exp_sd_le0",205,0.748,"ctrl_sd_le0",205,0.748,"variance_se_mismatch",182,0.664
"CD014785_pub2_data",NA,NA,"ci_mismatch",8,1,"double_zero",5,0.625,"sparse_events",5,0.625,"exp_sd_le0",3,0.375,"ctrl_sd_le0",3,0.375
"CD014803_pub2_data",NA,NA,"ci_mismatch",12,0.857,"exp_sd_le0",9,0.643,"ctrl_sd_le0",9,0.643,"sparse_events",7,0.5,"duplicate_study",5,0.357
"CD014811_pub2_data",NA,NA,"ci_mismatch",32,0.97,"sparse_events",20,0.606,"exp_sd_le0",18,0.545,"ctrl_sd_le0",18,0.545,"double_zero",16,0.485
"CD014845_pub2_data",NA,NA,"double_zero",184,1,"sparse_events",184,1,"exp_sd_le0",133,0.723,"ctrl_sd_le0",133,0.723,"variance_se_mismatch",86,0.467
"CD014861_pub2_data",NA,NA,"sparse_events",35,0.833,"double_zero",30,0.714,"ci_mismatch",30,0.714,"exp_sd_le0",22,0.524,"ctrl_sd_le0",22,0.524
"CD014871_pub2_data",NA,NA,"double_zero",99,1,"sparse_events",99,1,"ci_mismatch",99,1,"duplicate_study",18,0.182,"",0,NA
