dataset,analysis_id,k,estimate,I2,tau2,direction_fragile,sig_fragile,fragility_any,MAFI_base,MAFI_empirical,MAFI_simple
CD007024_pub3_data,4,16,0.335077888035036,24.3455907935955,0.134227833006536,FALSE,TRUE,1,0.174400336467315,0.212231289917116,0.1225
CD007024_pub3_data,5,26,0.166985203157676,0.000229966937441328,6.58852375580118e-07,FALSE,TRUE,1,0.0306956201815875,0.0319213338461226,0.0192307692307692
CD007024_pub3_data,8,19,0.200283705973405,0,0,FALSE,TRUE,1,0.08274026083391,0.102212385630206,0.0676315789473684
CD007026_pub7_data,1,14,-0.0635322314121184,0,0,FALSE,FALSE,0,0.0938920837413841,0.0900358896426361,0.09
CD007026_pub7_data,2,14,-0.312085750766122,0,0,FALSE,TRUE,1,0.119986641209771,0.149096050648382,0.125714285714286
CD007026_pub7_data,3,10,0.0312277897575241,0,0,TRUE,FALSE,1,0.243585529283051,0.288982094837357,0.25
CD007026_pub7_data,4,10,-0.0861443642413039,0,0,FALSE,FALSE,0,0.152528850932747,0.150023319014257,0.15
CD007026_pub7_data,5,3,0.940440812987686,0.000267231969896112,1.82619358500167e-06,FALSE,TRUE,1,0.572439122666291,0.806910051890755,0.588333333333333
CD007026_pub7_data,6,5,0.0556964049484497,0.00115398194247307,2.44383846595809e-06,FALSE,FALSE,0,0.245358382871327,0.225190015192826,0.225
CD007079_pub4_data,1,20,-0.177052166351841,62.3300612088087,0.0429445846495661,FALSE,TRUE,1,0.280970911319192,0.331747375961565,0.125
CD007079_pub4_data,2,20,-0.27085787425743,64.8144711612168,0.0726036031704852,FALSE,FALSE,0,0.192154060654364,0.129982996912662,0
CD007079_pub4_data,3,20,-0.220744372642367,56.0774977632873,0.0472752680499739,FALSE,FALSE,0,0.215923064744242,0.112711358080878,0
CD007079_pub4_data,4,17,-0.176063558256093,35.2829793820776,0.0298326728086084,FALSE,TRUE,1,0.315529599044994,0.504822112054721,0.280294117647059
CD007079_pub4_data,5,11,-0.0711735739976457,2.02722352376849,0.00201167481337405,TRUE,FALSE,1,0.187274093062329,0.202280509968468,0.180454545454545
CD007079_pub4_data,6,8,0.0591439678025905,0,0,FALSE,FALSE,0,0.185369401459778,0.180049512269613,0.18
CD007079_pub4_data,7,20,-0.0673250098454755,0,0,FALSE,FALSE,0,0.00465084098808788,4.28862871692327e-05,0
CD007079_pub4_data,8,7,0.177645561983432,0,0,FALSE,FALSE,0,0.201817533049426,0.19506286576576,0.195
CD007079_pub4_data,9,4,0.0224529331926403,0,0,TRUE,FALSE,1,0.461968588356441,0.587344626756936,0.49
CD007079_pub4_data,10,6,-0.271408102807415,0,0,FALSE,FALSE,0,0.217007936714777,0.210064621514084,0.21
CD007079_pub4_data,11,5,0.123725811590003,0,0,FALSE,FALSE,0,0.235737454850496,0.225099012108426,0.225
CD007079_pub4_data,15,7,0.0650158841540891,0,0,FALSE,FALSE,0,0.198372210573529,0.195031095793518,0.195
CD007079_pub4_data,17,8,-0.0268281366936097,0,0,TRUE,FALSE,1,0.294438453174182,0.353704164833938,0.305
CD007110_pub4_data,1,24,0.0621762085180022,0,0,TRUE,FALSE,1,0.0697091695685425,0.0869672545509555,0.0625
CD007110_pub4_data,2,20,0.134357888923826,0,0,TRUE,FALSE,1,0.0754507690178771,0.035181026807711,0.025
CD007110_pub4_data,3,17,0.082264742609896,0,0,TRUE,FALSE,1,0.0887036540664092,0.0860262717201644,0.0744117647058824
CD007130_pub5_data,1,14,0.183065910050036,0,0,FALSE,FALSE,0,0.129548795778746,0.0902375432987369,0.09
CD007130_pub5_data,2,28,0.0170094006648676,0,0,TRUE,FALSE,1,0.061900073608486,0.0992273101200693,0.0714285714285714
CD007130_pub5_data,3,3,-0.0110601715273257,0,0,TRUE,FALSE,1,0.394509218790981,0.486484982501931,0.421666666666667
CD007130_pub5_data,4,26,0.325650307767663,43.3990091596711,0.309188387151167,FALSE,TRUE,1,0.155786785131359,0.214122412822121,0.0769230769230769
CD007130_pub5_data,5,11,-0.217713056579712,0,0,FALSE,FALSE,0,0.253523286589666,0.135607468137447,0.135
CD007130_pub5_data,6,9,-0.227780056838925,0,0,FALSE,FALSE,0,0.243285574864425,0.16542521762053,0.165
CD007130_pub5_data,7,6,-0.371005240650127,0,0,FALSE,FALSE,0,0.224848492618992,0.210136920767689,0.21
CD007130_pub5_data,8,7,-0.324779947520061,0,0,FALSE,FALSE,0,0.208097944731263,0.19512077863348,0.195
CD007130_pub5_data,9,14,-0.0143230422929137,0,0,TRUE,FALSE,1,0.185916481017484,0.238869240765242,0.197142857142857
CD007130_pub5_data,10,13,-0.0588288034181723,0,0,TRUE,FALSE,1,0.14738443771593,0.158513575294049,0.143461538461538
CD007130_pub5_data,11,6,0.0290418082785421,0,0,TRUE,FALSE,1,0.430316779405087,0.557329395113193,0.46
CD007156_pub3_data,1,46,-0.0800166082574535,0,0,FALSE,FALSE,0,0.00391928471570371,3.61404679812025e-05,0
CD007156_pub3_data,2,22,-0.101456657559531,0,0,FALSE,FALSE,0,0.00422836124014132,3.8990521255062e-05,0
CD007156_pub3_data,3,3,-1.14128579002884,5.36705646401726,0.0113707198375587,FALSE,FALSE,0,0.299766405625888,0.266047931156051,0.255
CD007156_pub3_data,4,4,-1.3025607223571,3.15095182834029,0.00957618269317264,FALSE,FALSE,0,0.288339219210938,0.246689537719273,0.24
CD007310_pub3_data,2,9,-0.0537558536120452,0,0,FALSE,FALSE,0,0.170762875057932,0.165053140564317,0.165
CD007310_pub3_data,3,18,0.0233099361353465,85.8021874170046,2.61023450505825,TRUE,FALSE,1,0.336850096587523,0.356267750892405,0.141111111111111
CD007310_pub3_data,4,14,-0.282279903714493,0,0,FALSE,FALSE,0,0.143521718098542,0.0903663902665724,0.09
CD007310_pub3_data,5,22,-0.72374219004739,10.5223639373985,0.045248677788975,,,,,,
CD007310_pub3_data,6,17,-0.163747622098188,73.3263682873831,1.72612755987222,TRUE,FALSE,1,0.284746367569381,0.232977382839102,0.0744117647058824
CD007310_pub3_data,7,20,0.0144154224719795,63.9670371874342,0.684293054441133,TRUE,FALSE,1,0.324750619994724,0.440516988144665,0.225
CD007310_pub3_data,8,16,-0.0692531043807824,43.4792872262757,0.154913933811468,TRUE,FALSE,1,0.190672019230837,0.190523890956852,0.09125
CD007310_pub3_data,9,21,0.585938151454312,51.2712401978194,0.44706419284986,FALSE,FALSE,0,0.121354824427768,0.102715952589282,0
CD007310_pub3_data,10,19,0.562169461061492,68.7247991063828,0.816200990832066,FALSE,TRUE,1,0.271031013857484,0.370246621514875,0.146578947368421
CD007310_pub3_data,11,12,0.447146103247734,39.1023378843149,0.309876352003667,FALSE,TRUE,1,0.288830170547702,0.267588978018025,0.161666666666667
CD007310_pub3_data,12,7,0.609280567375816,93.2095666623103,3.63065375919417,FALSE,TRUE,1,0.508250602896499,0.500227746650322,0.266428571428571
CD007310_pub3_data,14,5,0.311446513669623,95.1993930095233,4.79179675231173,TRUE,TRUE,1,0.883873664091603,0.755637566501491,0.525
