dataset,analysis_id,measure,k,estimate,se,pval,ci_lb,ci_ub,tau2,I2,significant,direction_fragile,direction_fragility_index,sig_fragile,sig_fragility_index,sig_fragility_type,clinical_fragile,clinical_fragility_index,max_effect_change,mean_effect_change,max_change_study_idx,ci_width,ci_width_change,composite_fragility,fragility_quotient,fragility_class,DFI_rate,SFI_rate,CFI_rate,MAFI_core,het_penalty,k_penalty,MAFI,MAFI_class
CD007639_pub3_data,15,OR,4,-1.16506629361552,1.00155744007544,0.244726222049036,-3.12808280461152,0.797950217380469,0.62903134647634,15.4203880849205,FALSE,FALSE,0,FALSE,0,gain,TRUE,1,1.16506629361552,0.487065055005379,1,3.92603302199199,0.765486533126131,1,0,Low Fragility,0,0,0.25,0.2,0.030840776169841,0.24,0.470840776169841,Moderate Fragility
CD007674_pub3_data,1,OR,55,-0.16114991733909,0.272927493475697,0.554889295283334,-0.696077974942246,0.373778140264066,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0166260600644452,0.00510410066901463,24,1.06985611520631,0.00986067271219521,0,0,Robust,0,0,0,0.00249390900966678,0,0,0.00249390900966678,Robust
CD007674_pub3_data,2,OR,54,0.696496460694295,0.164625628817022,2.32872024439764e-05,0.373836157280673,1.01915676410792,0.549613867927438,51.9521331980484,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0610619135820403,0.0170161682342638,27,0.645320606827245,0.0110197670981105,0,0,Robust,0,0,0,0.00915928703730604,0.103904266396097,0,0.113063553433403,Robust
CD007674_pub3_data,3,OR,42,0.328596315716763,0.151034643540801,0.0295825348230377,0.0325738539589476,0.624618777474579,0.00127618209622104,0.12235332826101,TRUE,,,,,loss,,,,,39,0.592044923515632,,,,"",,,0,,0.00024470665652202,0,,
CD007674_pub3_data,4,OR,73,0.79073510023214,0.163124456946636,1.25068383750177e-06,0.471017039619079,1.1104531608452,0.936722200033928,66.0651329726345,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0548049631014699,0.0141083785067333,69,0.639436121226121,0.00720620360979341,0,0,Robust,0,0,0,0.00822074446522048,0.132130265945269,0,0.140351010410489,Robust
CD007674_pub3_data,5,OR,41,0.103635633809336,0.173343025959382,0.549930378634641,-0.236110454042244,0.443381721660917,0.262138359181848,25.0102154353496,FALSE,TRUE,1,FALSE,0,gain,FALSE,0,0.105026027604984,0.0180886853048792,15,0.679492175703161,0.0122254935338891,1,0.024390243902439,Low Fragility,0.024390243902439,0,0,0.0255100017017232,0.0500204308706992,0,0.0755304325724224,Robust
CD007674_pub3_data,7,OR,39,-0.225146458643597,0.324202028746489,0.487391615996592,-0.860570758701535,0.410277841414341,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,14,0.0253328381661553,0.00713531911669839,34,1.27084860011588,0.0166132704650605,1,0,Low Fragility,0,0,0.358974358974359,0.0755947975197951,0,0,0.0755947975197951,Robust
CD007674_pub3_data,8,OR,16,0.938400906740552,0.27513199373531,0.000647892473911801,0.399152108024645,1.47764970545646,0.67668687396007,66.6929455295172,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.184053537432055,0.0699506207292485,2,1.07849759743181,0.0705164510971133,0,0,Robust,0,0,0,0.0276080306148083,0.133385891059034,0.06,0.220993921673843,Low Fragility
CD007674_pub3_data,6,OR,14,0.76567318801532,0.238003495970358,0.00129508360094759,0.299194907718795,1.23215146831184,0.367045792988993,54.0363606087534,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.13822888776111,0.070942093005649,10,0.932956560593049,0.0929430709971648,0,0,Robust,0,0,0,0.0207343331641665,0.108072721217507,0.09,0.218807054381673,Low Fragility
CD007693_pub3_data,1,OR,52,-0.190035876924399,0.278682495024213,0.495297003719267,-0.736243530293619,0.35617177644482,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.190035876924399,0.00548166231737296,50,1.09241530673844,0.014087002576617,0,0,Robust,0,0,0,0.0285053815386599,0,0,0.0285053815386599,Robust
