"dataset_name","n_rows","n_analyses","sd_imputed_rows","invalid_binary_rows","invalid_cont_rows","analyses_sparse","analyses_double_zero","analyses_with_cc","analyses_with_glmm"
"CD015636_pub2_data",7,1,0,5,0,1,1,1,1
"CD015673_pub2_data",85,11,15,0,0,8,8,8,8
"CD015698_pub2_data",29,14,0,19,22,3,1,3,3
"CD015701_pub2_data",19,10,0,0,6,1,0,0,1
"CD015711_pub2_data",15,9,2,0,1,2,1,4,2
"CD015721_pub2_data",41,7,0,0,0,1,0,1,1
"CD015746_pub2_data",89,18,0,0,1,10,4,11,10
"CD015749_pub2_data",56,8,0,0,0,7,6,6,7
"CD015751_pub2_data",33,6,3,0,0,6,5,6,6
"CD015779_data",24,10,0,2,7,4,1,4,4
"CD015786_pub2_data",41,26,0,0,15,7,5,7,7
"CD015788_pub2_data",22,17,0,0,4,3,3,3,3
"CD015790_pub2_data",54,13,0,0,0,11,11,11,11
"CD015802_pub2_data",7,3,2,0,0,3,2,3,3
"CD015804_pub2_data",63,12,1,3,4,7,6,8,7
"CD015820_pub2_data",30,8,2,0,1,6,5,6,6
"CD015824_pub2_data",90,32,0,0,5,16,9,14,16
"CD015830_pub2_data",11,4,0,9,0,1,0,1,1
"CD015849_pub2_data",317,50,171,34,11,35,32,32,34
"CD015854_data",91,32,36,2,5,24,20,22,24
"CD015855_data",71,20,19,0,2,12,9,10,12
"CD015875_data",207,40,26,182,8,6,3,5,6
"CD015877_data",7,3,0,7,0,0,0,0,0
"CD015894_pub2_data",28,8,3,0,0,6,6,6,6
"CD015932_pub2_data",106,60,7,27,33,5,4,7,5
"CD015968_data",45,20,0,45,0,0,0,0,0
"CD016001_data",106,31,5,75,7,2,2,2,2
"CD016002_data",239,47,9,188,9,5,4,5,5
"CD016031_data",252,48,65,52,8,31,22,29,31
"CD016058_pub2_data",52,8,15,17,0,4,2,4,4
"CD016064_data",573,37,0,0,6,31,31,31,26
"CD016119_data",151,20,0,0,3,13,9,12,13
"CD016120_data",50,23,0,0,2,14,11,14,14
"CD016131_data",70,19,0,0,6,8,6,7,8
"CD016136_data",205,5,0,0,0,5,5,5,3
"CD016147_data",32,12,0,0,4,3,1,2,3
"CD016148_data",57,8,13,1,3,5,4,4,5
"CD016168_data",45,21,5,0,3,14,8,13,14
"CD016211_data",62,24,0,25,29,4,2,4,4
"CD016278_data",61,18,0,0,0,14,11,13,14
