dataset,analysis_id,k,estimate,I2,tau2,direction_fragile,sig_fragile,fragility_any,MAFI_5comp,MAFI_3comp,MAFI_empirical,MAFI_simple,class_5comp,class_simple,agree
CD011793_pub3_data,4,11,-0.000418052065492234,0,0,TRUE,FALSE,1,0.173262269654001,0.194090909090909,0.198166733379558,0.180454545454545,Low,Low,TRUE
CD011793_pub3_data,5,8,0.00320961334618139,0,0,FALSE,FALSE,0,0.180481442001927,0.18,0.180003212826172,0.18,Low,Low,TRUE
CD011793_pub3_data,6,8,-0.263477809777642,0,0,FALSE,FALSE,0,0.306204382865612,0.18,0.180675371257028,0.18,Moderate,Low,FALSE
CD011793_pub3_data,7,5,-0.0345918052312515,0,0,TRUE,FALSE,1,0.311150776093046,0.355,0.363979985159113,0.325,Moderate,Moderate,TRUE
CD011793_pub3_data,8,4,-0.0692900851007472,0,0,FALSE,FALSE,0,0.245809138222573,0.24,0.240038766354505,0.24,Low,Low,TRUE
CD011793_pub3_data,10,9,-0.0151596882230326,0,0,FALSE,FALSE,0,0.167273953233455,0.165,0.165015174863086,0.165,Low,Low,TRUE
CD011793_pub3_data,11,5,0.0051549065766945,0,0,FALSE,FALSE,0,0.225773235986504,0.225,0.225005160066643,0.225,Low,Low,TRUE
CD011793_pub3_data,12,13,-0.154884586622996,4.48255307321614,0.0520101521115638,TRUE,FALSE,1,0.232434403588257,0.163965106146432,0.167885745178666,0.143461538461538,Low,Robust,FALSE
CD011793_pub3_data,13,9,0.213291413592114,3.28232178288781e-05,7.38147763704934e-08,FALSE,FALSE,0,0.24774193424303,0.165000065646436,0.165441007934924,0.165,Low,Low,TRUE
CD011793_pub3_data,14,9,-0.0112391677695305,0,0,TRUE,FALSE,1,0.211611761611801,0.237222222222222,0.242202762654882,0.220555555555556,Low,Low,TRUE
CD011800_pub2_data,1,3,0.813886940807362,0,0,FALSE,FALSE,0,0.424218462071224,0.255,0.256018029999363,0.255,Moderate,Low,FALSE
CD011800_pub2_data,2,3,0.288753298853535,0,0,FALSE,FALSE,0,0.340943802554596,0.255,0.255462309882469,0.255,Moderate,Low,FALSE
CD011806_pub2_data,2,7,-0.477496059054313,20.6693848790499,0.119260836907432,FALSE,TRUE,1,0.318566576613087,0.329195912615243,0.354671954989031,0.266428571428571,Moderate,Low,FALSE
CD011806_pub2_data,3,7,-0.653892713379348,10.5938979120226,0.0775821608758393,FALSE,TRUE,1,0.363421930751296,0.401902081538331,0.452739241502572,0.337857142857143,Moderate,Moderate,TRUE
CD011806_pub2_data,4,4,0.02576170731502,0,0,FALSE,FALSE,0,0.242495898481834,0.24,0.240016655979191,0.24,Low,Low,TRUE
CD011806_pub2_data,6,12,0.0951154336441828,0,0,TRUE,FALSE,1,0.175000428138229,0.174166666666667,0.178035816448481,0.161666666666667,Low,Low,TRUE
CD011806_pub2_data,7,12,0.0951154336441828,0,0,TRUE,FALSE,1,0.175000428138229,0.174166666666667,0.178035816448481,0.161666666666667,Low,Low,TRUE
CD011806_pub2_data,8,4,-0.136303028578117,0,0,TRUE,FALSE,1,0.365645423926416,0.4025,0.41384481430715,0.365,Moderate,Moderate,TRUE
CD011806_pub2_data,9,3,0.0267524905254643,0,0,TRUE,FALSE,1,0.39312080626199,0.471666666666667,0.48659684666619,0.421666666666667,Moderate,Moderate,TRUE
CD011806_pub2_data,10,3,0.0267524905254643,0,0,TRUE,FALSE,1,0.39312080626199,0.471666666666667,0.48659684666619,0.421666666666667,Moderate,Moderate,TRUE
CD011806_pub2_data,12,3,-0.0462983660922622,0,0,FALSE,FALSE,0,0.258686793000456,0.255,0.255024603223226,0.255,Low,Low,TRUE
CD011806_pub2_data,13,3,-0.0462983660922622,0,0,FALSE,FALSE,0,0.258686793000456,0.255,0.255024603223226,0.255,Low,Low,TRUE
CD011806_pub2_data,14,4,-0.018099012832773,0,0,TRUE,FALSE,1,0.346042030847181,0.4025,0.413713994199848,0.365,Moderate,Moderate,TRUE
CD011806_pub2_data,15,5,-0.0091921349768188,0,0,TRUE,FALSE,1,0.309861681409505,0.355,0.363971382591989,0.325,Moderate,Moderate,TRUE
CD011806_pub2_data,17,11,0.033119193797056,0,0,TRUE,FALSE,1,0.195595525184929,0.194090909090909,0.198315770787172,0.180454545454545,Low,Low,TRUE
CD011806_pub2_data,18,11,0.033119193797056,0,0,TRUE,FALSE,1,0.195595525184929,0.194090909090909,0.198315770787172,0.180454545454545,Low,Low,TRUE
CD011806_pub2_data,19,4,-0.279632046587459,0,0,TRUE,FALSE,1,0.434406450007575,0.4025,0.414220263263314,0.365,Moderate,Moderate,TRUE
CD011841_pub3_data,1,37,-0.500040048484692,0,0,,,,,,,,,,
CD011841_pub3_data,2,32,0.038407177287998,62.9541525472417,1.11721748830212,TRUE,FALSE,1,0.217708347383298,0.247783305094483,0.256275672744058,0.09375,Low,Robust,FALSE
CD011841_pub3_data,3,18,-0.0971254838719546,62.8637040231815,1.04601451291692,TRUE,FALSE,1,0.25781012638075,0.227949630268585,0.233263273144802,0.0855555555555556,Low,Robust,FALSE
CD011841_pub3_data,5,6,0.295674908519785,0,0,TRUE,FALSE,1,0.362825534720086,0.318333333333333,0.326301805370171,0.293333333333333,Moderate,Low,FALSE
CD011841_pub3_data,6,4,0.603301169920073,0,0,TRUE,FALSE,1,0.538688074852108,0.4025,0.41491617000235,0.365,High,Moderate,FALSE
CD011851_pub3_data,1,4,-0.188670035932419,0,0,FALSE,FALSE,0,0.346075587252691,0.24,0.240624461710061,0.24,Moderate,Low,FALSE
CD011851_pub3_data,2,4,-0.188670035932419,0,0,FALSE,FALSE,0,0.346075587252691,0.24,0.240624461710061,0.24,Moderate,Low,FALSE
CD011851_pub3_data,3,8,-0.0135032422515686,0,0,FALSE,FALSE,0,0.18130304669057,0.18,0.180008695673611,0.18,Low,Low,TRUE
CD011851_pub3_data,4,8,-0.0135032422515686,0,0,FALSE,FALSE,0,0.18130304669057,0.18,0.180008695673611,0.18,Low,Low,TRUE
CD011851_pub3_data,5,3,-0.0325038333242604,0,0,FALSE,FALSE,0,0.258622566870755,0.255,0.255024174620425,0.255,Low,Low,TRUE
CD011851_pub3_data,6,8,-0.00984481638646774,0,0,FALSE,FALSE,0,0.181381543214743,0.18,0.180009219507606,0.18,Low,Low,TRUE
CD011851_pub3_data,7,8,-0.00984481638646774,0,0,FALSE,FALSE,0,0.181381543214743,0.18,0.180009219507606,0.18,Low,Low,TRUE
CD011851_pub3_data,8,3,-0.0227414201607329,0,0,TRUE,FALSE,1,0.392205247484322,0.471666666666667,0.486590736831171,0.421666666666667,Moderate,Moderate,TRUE
CD011851_pub3_data,9,7,-0.0136685759865027,0,0,FALSE,FALSE,0,0.196516459749885,0.195,0.195010119851517,0.195,Low,Low,TRUE
CD011851_pub3_data,10,5,-0.0025979383211247,0,0,TRUE,FALSE,1,0.306737710450945,0.355,0.363950535271611,0.325,Moderate,Moderate,TRUE
CD011851_pub3_data,11,5,-0.0025979383211247,0,0,TRUE,FALSE,1,0.306737710450945,0.355,0.363950535271611,0.325,Moderate,Moderate,TRUE
CD011851_pub3_data,13,4,-0.00739196939580177,0,0,TRUE,FALSE,1,0.341648410845611,0.4025,0.413684674079717,0.365,Moderate,Moderate,TRUE
CD011851_pub3_data,14,4,-0.00739196939580177,0,0,TRUE,FALSE,1,0.341648410845611,0.4025,0.413684674079717,0.365,Moderate,Moderate,TRUE
