"dataset_name","n_rows","issue_rows","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"CD014833_pub2_data",30,30,0,0,0,0,0,0,0,0,0,0,11,0,11,19,19,0,0,0,30
"CD014852_pub2_data",202,202,0,0,0,0,0,0,0,0,0,0,116,0,122,86,86,0,0,0,200
"CD014869_pub2_data",34,34,0,0,0,0,0,0,0,0,0,0,1,0,4,33,33,0,0,0,34
"CD014891_pub2_data",25,25,0,0,0,0,0,0,0,0,0,0,16,0,18,10,10,0,0,0,23
"CD014914_pub2_data",240,46,0,0,0,0,0,0,0,0,0,0,2,0,16,30,29,0,0,0,29
"CD014920_pub2_data",9,9,0,0,0,0,0,0,0,0,0,0,1,0,2,8,8,0,0,0,8
"CD014935_pub2_data",29,29,0,0,0,0,0,0,0,0,0,0,6,0,10,23,23,0,0,0,28
"CD014966_pub2_data",105,105,0,0,0,0,0,0,0,0,0,0,6,0,12,105,105,0,0,0,104
"CD015003_pub2_data",26,26,0,0,0,0,0,0,0,0,0,0,0,0,8,26,26,0,0,0,26
"CD015038_pub2_data",81,81,0,0,0,0,0,0,0,0,0,0,33,2,55,54,54,0,0,0,75
"CD015046_pub2_data",20,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"CD015084_pub2_data",32,32,0,0,0,0,0,0,0,0,0,0,19,0,21,13,13,0,0,0,32
"CD015123_pub2_data",35,35,0,0,0,0,4,4,0,0,0,0,9,4,11,30,30,0,0,0,32
"CD015134_pub2_data",32,32,0,0,0,0,0,0,0,0,0,0,8,0,14,32,32,0,0,0,24
"CD015140_pub2_data",156,156,0,0,0,0,2,2,0,0,0,0,106,2,111,142,142,0,0,0,151
"CD015192_pub2_data",67,67,0,0,0,0,0,0,0,0,0,0,22,0,37,67,67,0,0,0,45
"CD015314_pub2_data",71,71,0,0,0,0,0,0,0,0,0,0,2,0,4,71,71,0,0,0,69
"CD015395_pub3_data",17,17,0,0,0,0,0,0,0,0,0,0,0,0,2,17,17,0,0,0,17
"CD015432_pub2_data",152,152,0,0,0,0,0,0,0,0,0,0,88,0,96,97,97,0,0,0,119
"CD015443_pub2_data",88,88,0,0,0,0,0,0,0,0,0,0,5,0,19,84,84,0,0,0,86
"CD015524_pub2_data",283,283,0,0,0,0,0,0,0,0,0,0,213,0,216,89,89,0,0,0,216
"CD015551_pub2_data",27,27,0,0,0,0,1,1,0,0,0,0,1,1,4,27,27,0,0,0,27
"CD015573_data",9,9,0,0,0,0,0,0,0,0,0,0,2,0,6,7,7,0,0,0,9
"CD015698_pub2_data",29,26,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,19
"CD015779_data",24,24,0,0,0,0,2,2,0,0,0,0,3,2,12,24,24,0,0,0,23
"CD015875_data",207,22,0,0,0,0,0,0,0,0,0,0,10,0,21,0,1,0,0,0,0
"CD016002_data",239,55,0,0,0,0,9,9,0,0,0,0,31,0,46,0,0,0,0,0,0
"CD016058_pub2_data",52,14,0,0,0,0,0,0,0,0,0,0,8,1,13,1,1,0,0,0,1
"CD016064_data",573,573,0,0,0,0,0,0,0,0,0,0,564,0,568,573,573,0,0,0,571
"CD016120_data",50,50,0,0,0,0,0,0,0,0,0,0,35,0,40,19,19,0,0,0,44
"CD016147_data",32,32,0,0,0,0,0,0,0,0,0,0,3,0,9,29,29,0,0,0,29
"CD016148_data",57,57,0,0,0,0,1,1,0,0,0,0,10,1,22,55,55,0,0,0,48
