"dataset_name","n_rows","n_cols","n_analyses","n_subgroups","has_binary_cols","has_continuous_cols","binary_complete_rows","continuous_complete_rows"
"CD015101_data",41,26,4,1,TRUE,TRUE,41,41
"CD015112_pub3_data",3,38,3,1,TRUE,TRUE,3,3
"CD015120_pub2_data",66,26,2,1,TRUE,TRUE,66,66
"CD015122_pub2_data",80,26,26,1,TRUE,TRUE,80,80
"CD015123_pub2_data",35,39,27,3,TRUE,TRUE,35,35
"CD015124_pub2_data",25,27,2,2,TRUE,TRUE,25,25
"CD015134_pub2_data",32,26,7,1,TRUE,TRUE,32,32
"CD015140_pub2_data",156,27,51,11,TRUE,TRUE,156,156
"CD015145_pub2_data",157,26,18,1,TRUE,TRUE,7,150
"CD015158_pub2_data",50,26,28,1,TRUE,TRUE,50,50
"CD015160_pub2_data",52,38,7,1,TRUE,TRUE,52,52
"CD015192_pub2_data",67,27,18,5,TRUE,TRUE,67,67
"CD015213_pub2_data",253,38,14,1,TRUE,TRUE,253,253
"CD015215_pub2_data",213,26,55,1,TRUE,TRUE,213,213
"CD015219_pub2_data",289,38,15,1,TRUE,TRUE,289,289
"CD015229_pub2_data",56,38,7,1,TRUE,TRUE,0,56
"CD015252_pub2_data",66,26,9,1,TRUE,TRUE,66,66
"CD015254_pub2_data",76,26,14,1,TRUE,TRUE,76,76
"CD015255_pub2_data",104,26,24,1,TRUE,TRUE,104,104
"CD015284_pub2_data",167,27,73,3,TRUE,TRUE,167,167
"CD015313_pub2_data",3,38,3,1,TRUE,TRUE,3,3
"CD015314_pub2_data",71,27,8,5,TRUE,TRUE,71,71
"CD015326_pub2_data",433,39,90,5,TRUE,TRUE,433,433
"CD015328_pub2_data",293,38,9,1,TRUE,TRUE,0,0
"CD015330_pub2_data",90,38,9,1,TRUE,TRUE,0,0
"CD015331_pub2_data",984,38,85,1,TRUE,TRUE,984,984
"CD015332_pub2_data",252,38,41,1,TRUE,TRUE,252,252
"CD015350_pub2_data",58,27,15,3,TRUE,TRUE,58,58
"CD015373_pub2_data",176,39,43,5,TRUE,TRUE,99,81
"CD015383_pub2_data",22,26,4,1,TRUE,TRUE,22,22
"CD015387_pub2_data",151,27,18,5,TRUE,TRUE,146,5
"CD015395_pub3_data",17,38,8,1,TRUE,TRUE,17,17
"CD015432_pub2_data",152,26,15,1,TRUE,TRUE,152,152
"CD015443_pub2_data",88,26,10,1,TRUE,TRUE,88,88
"CD015448_pub2_data",46,38,7,1,TRUE,TRUE,46,46
"CD015462_pub2_data",36,26,18,1,TRUE,TRUE,36,36
"CD015476_pub2_data",192,39,25,3,TRUE,TRUE,192,192
"CD015495_data",41,38,3,1,TRUE,TRUE,41,41
"CD015514_pub2_data",15,38,8,1,TRUE,TRUE,15,15
"CD015517_data",217,26,10,1,TRUE,TRUE,217,217
"CD015518_data",208,26,10,1,TRUE,TRUE,208,208
"CD015519_pub2_data",39,26,9,1,TRUE,TRUE,39,39
"CD015520_data",104,27,22,4,TRUE,TRUE,104,104
"CD015524_pub2_data",283,39,36,1,TRUE,TRUE,283,283
"CD015526_pub2_data",8,38,4,1,TRUE,TRUE,8,8
"CD015530_pub2_data",18,39,10,1,TRUE,TRUE,18,18
"CD015532_data",139,38,18,1,TRUE,TRUE,139,139
"CD015536_pub2_data",247,39,19,4,TRUE,TRUE,247,247
"CD015551_pub2_data",27,39,6,1,TRUE,TRUE,27,27
"CD015573_data",9,26,3,1,TRUE,TRUE,9,9
"CD015584_pub2_data",115,39,16,3,TRUE,TRUE,115,115
"CD015588_pub2_data",441,26,56,1,TRUE,TRUE,441,441
"CD015592_pub3_data",11,26,5,1,TRUE,TRUE,11,11
"CD015594_pub2_data",5,26,3,1,TRUE,TRUE,5,5
"CD015636_pub2_data",7,38,1,1,TRUE,TRUE,7,7
"CD015673_pub2_data",85,26,11,1,TRUE,TRUE,85,85
"CD015698_pub2_data",29,39,14,5,TRUE,TRUE,10,0
"CD015701_pub2_data",19,39,10,3,TRUE,TRUE,19,19
"CD015711_pub2_data",15,39,9,4,TRUE,TRUE,15,15
"CD015721_pub2_data",41,39,7,1,TRUE,TRUE,41,41
"CD015746_pub2_data",89,39,18,5,TRUE,TRUE,89,89
"CD015749_pub2_data",56,26,8,1,TRUE,TRUE,56,56
"CD015751_pub2_data",33,38,6,1,TRUE,TRUE,33,33
"CD015779_data",24,26,10,1,TRUE,TRUE,24,24
"CD015786_pub2_data",41,39,26,11,TRUE,TRUE,41,41
"CD015788_pub2_data",22,39,17,6,TRUE,TRUE,22,22
"CD015790_pub2_data",54,38,13,1,TRUE,TRUE,54,54
"CD015802_pub2_data",7,26,3,1,TRUE,TRUE,7,7
"CD015804_pub2_data",63,38,12,1,TRUE,TRUE,63,63
"CD015820_pub2_data",30,27,8,1,TRUE,TRUE,30,30
"CD015824_pub2_data",90,39,32,4,TRUE,TRUE,90,90
"CD015830_pub2_data",11,39,4,1,TRUE,TRUE,2,9
"CD015849_pub2_data",317,38,50,1,TRUE,TRUE,317,317
"CD015854_data",91,27,32,4,TRUE,TRUE,91,91
"CD015855_data",71,27,20,4,TRUE,TRUE,71,71
"CD015875_data",207,39,40,1,TRUE,TRUE,25,182
"CD015877_data",7,38,3,1,TRUE,TRUE,0,7
"CD015894_pub2_data",28,27,8,4,TRUE,TRUE,28,28
"CD015932_pub2_data",106,39,60,8,TRUE,TRUE,90,71
"CD015968_data",45,27,20,1,TRUE,TRUE,0,45
"CD016001_data",106,27,31,2,TRUE,TRUE,31,70
"CD016002_data",239,27,47,4,TRUE,TRUE,51,179
"CD016031_data",252,27,48,7,TRUE,TRUE,200,207
"CD016058_pub2_data",52,26,8,1,TRUE,TRUE,35,18
"CD016064_data",573,27,37,9,TRUE,TRUE,573,573
"CD016119_data",151,26,20,1,TRUE,TRUE,151,151
"CD016120_data",50,26,23,1,TRUE,TRUE,50,50
"CD016131_data",70,39,19,3,TRUE,TRUE,70,70
"CD016136_data",205,38,5,1,TRUE,TRUE,205,205
"CD016147_data",32,38,12,1,TRUE,TRUE,32,32
"CD016148_data",57,38,8,1,TRUE,TRUE,57,57
"CD016168_data",45,38,21,1,TRUE,TRUE,45,45
"CD016211_data",62,39,24,3,TRUE,TRUE,49,24
"CD016278_data",61,26,18,1,TRUE,TRUE,61,61
