dataset,outcome_type,k,total_n,I2,information_fraction,het_adj_power,z_stability_approx,sequential_status,significant,IAI_final,IAI_final_class
CD013707_pub2_data,binary,49,3098,0,0.321,0.1,0.73262,continue,FALSE,0.380699109393326,Inadequate
CD013715_pub2_data,binary,91,6063,26.9,1.523,1,0.9193,conclusive_benefit,TRUE,0.923791209987439,Adequate
CD013719_pub2_data,binary,59,9704,65.3,0.482,0.904,0.70012,continue,TRUE,0.503020506733714,Marginal
CD013726_pub2_data,continuous,37,2917,82.6,1.455,0.268,0.42866,continue,FALSE,0.416398032550456,Inadequate
CD013729_pub2_data,binary,26,6453,0,0.048,0.037,0.51844,continue,FALSE,0.29201328455378,Inadequate
CD013731_pub2_data,binary,17,1129,81.8,0.124,0.084,0.22534,continue,FALSE,0.214761023421304,Critical
CD013745_pub2_data,binary,51,49360,43.5,1.86,0.483,0.68458,continue,FALSE,0.552449767268668,Marginal
CD013748_pub2_data,binary,82,4659,15.2,2.212,0.999,0.9544,conclusive_harm,TRUE,0.969897842091538,Adequate
CD013757_pub3_data,binary,39,28557,51.2,2.451,0.976,0.6951,conclusive_harm,TRUE,0.894519043110243,Adequate
CD013758_pub2_data,binary,345,91117,0,0.8,0.233,0.77386,continue,FALSE,0.45237046797751,Inadequate
CD013763_pub3_data,continuous,284,16913,96.9,1.486,1,0.7093,conclusive_harm,TRUE,0.85789359213538,Adequate
CD013764_pub2_data,binary,28,23954,86.2,4.289,0.239,0.34046,continue,FALSE,0.442710260677819,Inadequate
CD013773_pub2_data,binary,23,13510,0,1.155,0.834,0.6598,conclusive_harm,TRUE,0.788417052226409,Adequate
CD013774_pub2_data,binary,43,24466,84.8,1.542,0.998,0.68474,conclusive_harm,TRUE,0.854572039916614,Adequate
CD013781_pub2_data,binary,449,58716,49.5,7.266,1,0.8515,conclusive_harm,TRUE,0.95544927814498,Adequate
CD013789_pub2_data,binary,385,25124,0,,0.373,0.79822,unknown,FALSE,0.570416,Marginal
CD013800_pub2_data,binary,140,1288423,98,13.779,0.875,0.59266,conclusive_harm,TRUE,0.85904799999841,Adequate
CD013801_pub2_data,binary,29,1677,25.7,0.082,0.381,0.55438,continue,FALSE,0.355969010537876,Inadequate
CD013810_pub2_data,binary,34,10977,0,,0.03,0.5765,unknown,FALSE,0.45245,Inadequate
CD013816_pub2_data,continuous,5,1777,93.6,0.325,0.08,0.0925,continue,FALSE,0.185924074360189,Critical
CD013821_pub2_data,binary,90,93133,87.1,2.477,0.097,0.47836,futile,FALSE,0.593148439894996,Marginal
