dataset,outcome_type,k,total_n,avg_n_per_study,p_control,effect_logOR,se,pval,I2,tau2,OIS,information_fraction,het_adj_power,z_score,sequential_status,IAI,IAI_class,significant
CD010136_pub4_data,binary,23,858,37.3,0.0465,-0.1853,0.3053,0.543948043339413,0,0,14627,0.059,0.088,-0.607,continue,0.1892,Critical,FALSE
CD010145_pub2_data,binary,138,23143,167.7,0.2609,0.1893,0.106,0.0741814563938522,78.1,0.8496,9487,2.439,0.431,1.785,continue,0.6179,Marginal,FALSE
CD010163_pub3_data,binary,5,250,50,0.2975,-0.1347,0.6177,0.82742535655785,60.2,1.0408,4383,0.057,0.041,-0.218,continue,0.1749,Critical,FALSE
CD010189_pub3_data,binary,44,9186,208.8,0,-0.0375,0.3033,0.901650203633588,0,0,,,0.033,-0.124,unknown,0.3599,Inadequate,FALSE
CD010216_pub9_data,binary,221,57167,258.7,0.1205,0.3036,0.0613,7.21618832925782e-07,51.7,0.2259,10861,5.264,0.999,4.955,conclusive_benefit,0.9495,Adequate,TRUE
CD010290_pub4_data,binary,146,23908,163.8,0.097,0.2383,0.0501,1.92384060071218e-06,0.8,0.0029,6726,3.555,0.997,4.761,conclusive_benefit,0.9468,Adequate,TRUE
CD010333_pub4_data,binary,8,155,19.4,0.1139,0.918,0.5168,0.0756780853589969,0,0,5586,0.028,0.427,1.776,continue,0.2882,Inadequate,FALSE
CD010441_pub3_data,binary,32,4283,133.8,0.3545,-0.5442,0.1416,0.000121660310262556,53.1,0.2763,2901,1.477,0.97,-3.843,conclusive_harm,0.8297,Adequate,TRUE
CD010533_pub3_data,binary,83,50073,603.3,0.0927,-0.1581,0.0714,0.0267704025343018,10.5,0.0325,7834,6.392,0.601,-2.215,conclusive_harm,0.8302,Adequate,TRUE
CD010583_pub6_data,binary,65,14441,222.2,0.1126,-0.0979,0.093,0.292389208025967,37.3,0.1562,9019,1.601,0.182,-1.053,continue,0.4722,Inadequate,FALSE
CD010779_pub2_data,binary,20,988,49.4,0,-0.03,0.4521,0.947023704829957,0,0,,,0.029,-0.066,unknown,0.3587,Inadequate,FALSE
CD010856_pub3_data,binary,81,161678,1996,0,-0.2086,0.2224,0.34809164045513,0,0,,,0.153,-0.938,unknown,0.396,Inadequate,FALSE
CD010861_pub3_data,binary,136,20203,148.6,0.1093,-0.0084,0.1526,0.956292977269969,43.9,0.9558,10416,1.94,0.028,-0.055,futile,0.5455,Marginal,FALSE
CD010966_pub4_data,binary,1241,154319,124.4,0.1243,-0.1467,0.0298,8.36670260481875e-07,25.7,0.1728,6819,22.632,0.998,-4.927,conclusive_harm,0.9495,Adequate,TRUE
CD011039_pub2_data,binary,28,1820,65,0.2944,-0.2881,0.1989,0.147431130228489,34.5,0.3236,2702,0.673,0.305,-1.449,continue,0.3383,Inadequate,FALSE
CD011044_pub3_data,binary,339,76238,224.9,0.0766,0.4392,0.0476,2.5588079410731e-20,48.9,0.2493,16851,4.524,1,9.236,conclusive_benefit,0.9497,Adequate,TRUE
CD011060_pub2_data,binary,4,7432,1858,0.0196,-0.5426,0.7842,0.488975793569001,87.3,1.6536,279129,0.027,0.102,-0.692,continue,0.1907,Critical,FALSE
CD011120_pub3_data,binary,27,6927,256.6,0.124,0.1918,0.0922,0.0375185168848365,19.4,0.0404,6306,1.098,0.548,2.08,conclusive_benefit,0.634,Marginal,TRUE
CD011192_pub4_data,binary,22,28949,1315.9,0.0814,-0.0809,0.046,0.0787786360316954,0,0,8079,3.583,0.42,-1.758,continue,0.6337,Marginal,FALSE
CD011197_pub3_data,continuous,117,11282,96.4,,0.5823,0.0957,1.17290310048065e-09,95.8,0.997,8259,1.366,1,6.084,conclusive_benefit,0.8201,Adequate,TRUE
CD011204_pub3_data,binary,320,154200,481.9,0.1264,0.663,0.0363,2.26438009695193e-74,62.4,0.1807,13207,11.675,1,18.245,conclusive_benefit,0.95,Adequate,TRUE
CD011218_pub2_data,binary,13,3745,288.1,0.103,0.3294,0.1147,0.0040883213729688,0,0,6247,0.599,0.819,2.871,conclusive_benefit,0.6196,Marginal,TRUE
CD011305_pub3_data,binary,66,7583,114.9,0.1461,-0.2095,0.0936,0.0251461153304245,0,0,4213,1.8,0.61,-2.239,conclusive_harm,0.7658,Adequate,TRUE
CD011330_pub2_data,binary,49,1485,30.3,0.0068,0.3156,0.2743,0.249970162482231,0,0,104341,0.014,0.209,1.15,continue,0.2216,Critical,FALSE
CD011381_pub3_data,binary,259,211868,818,0.1685,-0.1231,0.0489,0.0119164754788153,88.1,0.4143,30001,7.062,0.71,-2.515,conclusive_harm,0.8631,Adequate,TRUE
CD011468_pub2_data,binary,10,666,66.6,0.2061,-1.3202,0.3336,7.56637066959987e-05,19.1,0.1991,3464,0.192,0.977,-3.958,continue,0.4695,Inadequate,TRUE
CD011535_pub7_data,binary,890,350571,393.9,0.351,1.4361,0.0672,2.6477196180964e-101,97,3.4911,46178,7.592,1,21.368,conclusive_benefit,0.95,Adequate,TRUE
CD011575_pub3_data,binary,68,300611,4420.8,0.0206,0.1796,0.039,4.09638404040288e-06,41.6,0.0335,57798,5.201,0.996,4.606,conclusive_benefit,0.9487,Adequate,TRUE
CD011600_pub3_data,binary,151,500152,3312.3,0.0459,0.0129,0.0507,0.798844888672894,71.2,0.1073,51382,9.734,0.044,0.255,futile,0.6032,Marginal,FALSE
CD011624_pub3_data,continuous,15,1432,95.5,,-0.1802,0.0647,0.00534525322556602,17.5,0.0101,423,3.385,0.795,-2.785,conclusive_harm,0.8853,Adequate,TRUE
CD011626_pub3_data,binary,65,2796,43,0.0156,0.331,0.2131,0.120416740922511,0,0,44853,0.062,0.342,1.553,continue,0.2658,Inadequate,FALSE
CD011627_pub3_data,binary,24,1759,73.3,0.3029,-0.5433,0.3011,0.071193482401414,73.2,1.4355,6360,0.277,0.438,-1.804,continue,0.3176,Inadequate,FALSE
CD011670_pub3_data,binary,31,2940,94.8,0.0612,-0.3434,0.2332,0.140837926814354,20.9,0.3043,13842,0.212,0.313,-1.473,continue,0.2725,Inadequate,FALSE
CD011671_pub3_data,binary,85,16231,191,0.4147,-0.4215,0.0385,6.4009022003337e-28,0,0,1071,15.154,1,-10.953,conclusive_harm,0.95,Adequate,TRUE
CD011689_pub4_data,binary,3665,3754141,1024.3,0.0611,0.1503,0.0197,2.56176269931558e-14,88,0.7155,91288,41.124,1,7.619,conclusive_benefit,0.95,Adequate,TRUE
CD011762_pub2_data,binary,2017,2475829,1227.5,0.0206,-0.329,0.0166,9.45158491158294e-88,33.3,0.1119,50690,48.843,1,-19.858,conclusive_harm,0.95,Adequate,TRUE
CD011778_pub2_data,binary,205,8142,39.7,0,-0.001,0.1416,0.99415949420435,0,0,,,0.025,-0.007,unknown,0.3576,Inadequate,FALSE
CD011793_pub3_data,binary,115,12480,108.5,0.0304,0.0696,0.1084,0.52054039313003,0,0,22665,0.551,0.094,0.643,futile,0.3339,Inadequate,FALSE
CD011800_pub2_data,binary,12,544,45.3,0,0.5436,0.5628,0.334099822613497,0,0,,,0.16,0.966,unknown,0.398,Inadequate,FALSE
CD011806_pub2_data,continuous,32,2341,73.2,,0.8375,0.5078,0.0990878608156012,99.1,8.0949,34884,0.067,0.378,1.649,continue,0.277,Inadequate,FALSE
CD011841_pub3_data,binary,113,7268,64.3,0.1145,-0.1247,0.1555,0.422389793624904,48.9,0.9664,10863,0.669,0.123,-0.802,futile,0.3632,Inadequate,FALSE
CD011851_pub3_data,binary,74,46677,630.8,0.0026,-0.1176,0.156,0.451204573269559,0,0,273966,0.17,0.114,-0.753,continue,0.2081,Critical,FALSE
CD011858_pub2_data,binary,74,6083,82.2,0.0617,-0.1195,0.1625,0.462364010307176,22.3,0.3519,13969,0.435,0.11,-0.735,continue,0.2408,Critical,FALSE
CD011866_pub3_data,binary,157,17932,114.2,0.245,0.0935,0.0699,0.181237687023086,47.6,0.261,4303,4.168,0.267,1.337,continue,0.5893,Marginal,FALSE
CD011885_pub2_data,binary,173,25835,149.3,0.0885,0.158,0.0734,0.0313738198508432,23.6,0.1567,9654,2.676,0.576,2.152,conclusive_benefit,0.8093,Adequate,TRUE
CD012067_pub3_data,binary,416,95413,229.4,0.0698,0.34,0.0752,6.22826600105133e-06,72.5,0.8979,34653,2.753,0.995,4.518,conclusive_benefit,0.9368,Adequate,TRUE
CD012079_pub2_data,binary,567,79149,139.6,0.1102,-0.0368,0.0551,0.503920780027534,59.8,0.6712,14413,5.491,0.098,-0.668,futile,0.6194,Marginal,FALSE
CD012152_pub4_data,binary,63,46833,743.4,0.1539,-0.1313,0.0476,0.00577379745999873,33.1,0.0333,5935,7.891,0.788,-2.76,conclusive_harm,0.8865,Adequate,TRUE
CD012170_pub2_data,binary,59,17475,296.2,0,-0.022,0.262,0.933075230797269,0,0,,,0.03,-0.084,unknown,0.3591,Inadequate,FALSE
CD012178_pub2_data,binary,24,3172,132.2,0.0904,-0.2706,0.1377,0.0492897368922281,0,0,7207,0.44,0.502,-1.966,continue,0.3592,Inadequate,TRUE
CD012186_pub2_data,binary,202,113209,560.4,0.0812,0.1511,0.0395,0.00013215428808551,50.3,0.1118,16292,6.949,0.969,3.822,conclusive_benefit,0.9406,Adequate,TRUE
CD012214_pub3_data,binary,25,1180,47.2,0.2555,0.7634,0.2079,0.000239872284198832,4.7,0.0506,2241,0.527,0.957,3.673,conclusive_benefit,0.6488,Marginal,TRUE
CD012265_pub2_data,binary,4,222,55.5,0.0531,-0.3157,0.6024,0.600192814969783,0,0,12718,0.017,0.076,-0.524,continue,0.1818,Critical,FALSE
CD012268_pub2_data,binary,207,12656,61.1,0,-0.0296,0.141,0.833873975803598,0,0,,,0.04,-0.21,unknown,0.362,Inadequate,FALSE
CD012335_pub2_data,binary,17,7208,424,0.0951,-0.0441,0.2178,0.839652843199063,65.5,0.3621,19753,0.365,0.039,-0.202,continue,0.2095,Critical,FALSE
CD012397_pub2_data,binary,23,44680,1942.6,0.0221,-0.1346,0.2142,0.529761289331625,75.3,0.4606,127270,0.351,0.091,-0.628,continue,0.2233,Critical,FALSE
CD012426_pub2_data,binary,23,9046,393.3,0.4745,-0.1566,0.0486,0.00128035000086524,0,0,856,10.57,0.896,-3.22,conclusive_harm,0.9189,Adequate,TRUE
CD012429_pub2_data,binary,105,9186,87.5,0.1102,-0.2652,0.0922,0.00404400523914445,0,0,5797,1.584,0.82,-2.875,conclusive_harm,0.8011,Adequate,TRUE
CD012445_pub2_data,binary,46,4804,104.4,0,-0.1026,0.2978,0.730482536656063,0,0,,,0.053,-0.344,unknown,0.3659,Inadequate,FALSE
CD012503_pub3_data,binary,316,114303,361.7,0.2443,0.0726,0.0353,0.0396263129358432,41.9,0.0824,3895,29.349,0.539,2.058,conclusive_benefit,0.8117,Adequate,TRUE
CD012532_pub2_data,binary,14,4438,317,0,-0.0467,0.5368,0.930612161064843,0,0,,,0.031,-0.087,unknown,0.3592,Inadequate,FALSE
CD012570_pub2_data,binary,49,23212,473.7,0.076,-0.088,0.0615,0.152385765463791,0,0,8693,2.67,0.298,-1.431,continue,0.5859,Marginal,FALSE
CD012572_pub3_data,continuous,31,4961,160,,0.4479,0.0547,2.48659862278816e-16,68.2,0.0562,1097,4.523,1,8.196,conclusive_benefit,0.9497,Adequate,TRUE
CD012586_pub2_data,binary,582,153807,264.3,0.1344,-0.0603,0.0231,0.00901579452836123,27.5,0.0629,6396,24.049,0.743,-2.611,conclusive_harm,0.8728,Adequate,TRUE
CD012594_pub2_data,binary,2,268,134,0.1818,0.4829,0.2979,0.104989205576991,0,0,3261,0.082,0.367,1.621,continue,0.2752,Inadequate,FALSE
CD012609_pub2_data,binary,28,3689,131.8,0.4219,-0.4653,0.1754,0.00797936237221308,69.9,0.5301,3463,1.065,0.756,-2.653,conclusive_harm,0.6898,Marginal,TRUE
CD012623_pub2_data,binary,31,2241,72.3,0.6954,0.8833,0.1757,4.94167675787203e-07,0,0,383,5.844,0.999,5.029,conclusive_benefit,0.9497,Adequate,TRUE
CD012635_pub2_data,binary,50,18335,366.7,0.138,-0.0765,0.0459,0.0960754473178474,0,0,4498,4.076,0.384,-1.664,continue,0.6243,Marginal,FALSE
CD012642_pub2_data,binary,108,3398,31.5,0.2372,0.018,0.138,0.896077472883234,36.4,0.6391,3694,0.92,0.034,0.131,futile,0.3841,Inadequate,FALSE
CD012693_pub3_data,binary,445,110679,248.7,0.198,-0.0417,0.0344,0.224515801375477,43.1,0.1345,5172,21.402,0.228,-1.215,continue,0.5784,Marginal,FALSE
CD012712_pub2_data,binary,515,96832,188,0.1602,-0.3136,0.0293,1.04159017378221e-26,22,0.0596,4857,19.935,1,-10.698,conclusive_harm,0.95,Adequate,TRUE
CD012718_pub2_data,binary,54,21636,400.7,0.3081,0.6357,0.299,0.0335036356497509,97.1,3.2308,56406,0.384,0.566,2.126,continue,0.3701,Inadequate,TRUE
CD012757_pub2_data,binary,24,1886,78.6,0.5228,-0.4018,0.2667,0.13189536578875,77.1,1.1935,3133,0.602,0.325,-1.507,continue,0.3319,Inadequate,FALSE
CD012850_pub2_data,binary,104,3981,38.3,0.1595,-0.3362,0.1385,0.0152369556481543,14.9,0.2589,4475,0.89,0.68,-2.427,conclusive_harm,0.6319,Marginal,TRUE
CD012886_pub3_data,binary,2,294,147,0.385,-0.4974,0.2773,0.0728041962175064,0,0,1203,0.244,0.434,-1.794,continue,0.3125,Inadequate,FALSE
CD012891_pub2_data,binary,48,4774,99.5,0.1767,-0.5029,0.1808,0.00541551742384019,58,0.6649,8029,0.595,0.794,-2.781,conclusive_harm,0.6114,Marginal,TRUE
CD012905_pub2_data,binary,101,13543,134.1,0.1395,-0.1782,0.0885,0.0440065569185887,34.1,0.1738,6738,2.01,0.522,-2.014,conclusive_harm,0.7596,Adequate,TRUE
CD012925_pub2_data,binary,99,301136,3041.8,0.041,-0.0164,0.0831,0.843689556049039,61.5,0.114,43301,6.954,0.039,-0.197,futile,0.6017,Marginal,FALSE
CD012942_pub2_data,binary,825,268380,325.3,0.1978,0.4119,0.0241,2.23094253468238e-65,67.4,0.2485,9029,29.723,1,17.076,conclusive_benefit,0.95,Adequate,TRUE
CD012967_pub2_data,binary,8,2572,321.5,0.0041,0.1896,0.4827,0.694526448853485,0,0,172153,0.015,0.059,0.393,continue,0.1765,Critical,FALSE
CD012993_pub2_data,binary,55,5073,92.2,0.1396,-0.0662,0.1081,0.540321821141884,0,0,4442,1.142,0.089,-0.612,futile,0.4449,Inadequate,FALSE
CD012997_pub3_data,binary,12,1034,86.2,0.175,-0.128,0.2625,0.625782651566315,0,0,3413,0.303,0.07,-0.488,continue,0.2106,Critical,FALSE
CD013023_pub2_data,binary,53,6172,116.5,0.1076,-0.0756,0.1358,0.577598260708342,27.7,0.1972,8233,0.75,0.08,-0.557,futile,0.365,Inadequate,FALSE
CD013038_pub3_data,binary,39,8232,211.1,0.0116,0.0411,0.1829,0.822107767700489,0,0,60569,0.136,0.041,0.225,continue,0.1827,Critical,FALSE
CD013042_pub2_data,binary,312,24448,78.4,0.1229,0.2165,0.0692,0.00176662009516147,13.3,0.1477,5917,4.132,0.878,3.127,conclusive_benefit,0.9128,Adequate,TRUE
CD013051_pub3_data,binary,19,1795,94.5,0.582,1.6056,0.164,1.25494446312454e-22,26.5,0.1278,790,2.271,1,9.789,conclusive_benefit,0.9208,Adequate,TRUE
CD013052_pub3_data,binary,44,3954,89.9,0.4954,0.0959,0.0753,0.20286422982077,0,0,793,4.987,0.246,1.273,continue,0.5837,Marginal,FALSE
CD013053_pub3_data,binary,11,823,74.8,0.4866,1.6699,0.1699,8.49479131458059e-23,0,0,819,1.005,1,9.828,conclusive_benefit,0.751,Adequate,TRUE
CD013054_pub3_data,binary,54,5448,100.9,0.7152,-0.358,0.1616,0.0267211505807953,78.7,1.0018,1671,3.26,0.601,-2.216,conclusive_harm,0.826,Adequate,TRUE
CD013055_pub3_data,binary,11,1655,150.5,0.2503,1.0151,0.1099,2.45710203222017e-20,0,0,2194,0.754,1,9.24,conclusive_benefit,0.7018,Marginal,TRUE
CD013056_pub3_data,binary,21,3098,147.5,0.3999,-0.5,0.2825,0.076782236766306,83.7,1.121,6944,0.446,0.425,-1.77,continue,0.3367,Inadequate,FALSE
CD013057_pub3_data,binary,3,377,125.7,0.3268,0.1071,0.3028,0.723644119452493,0,0,1531,0.246,0.054,0.354,continue,0.1988,Critical,FALSE
CD013059_pub2_data,binary,363,12889,35.5,7e-04,-0.1422,0.1057,0.178570234841596,0,0,1053076,0.012,0.269,-1.345,continue,0.2395,Critical,FALSE
CD013071_pub2_data,binary,201,47104,234.3,0.0094,0.0379,0.0851,0.65552934964326,0,0,75136,0.627,0.065,0.446,futile,0.3382,Inadequate,FALSE
CD013078_pub2_data,binary,24,643,26.8,0.0582,-0.2193,0.391,0.574933595346171,0,0,11543,0.056,0.081,-0.561,continue,0.1868,Critical,FALSE
CD013105_pub2_data,binary,86,9141,106.3,0.1472,-0.0534,0.1154,0.643287251040829,21.2,0.1762,5304,1.724,0.067,-0.463,futile,0.534,Marginal,FALSE
CD013111_pub2_data,binary,21,1381,65.8,0.1777,0.3965,0.1534,0.00975109370259688,0,0,3352,0.412,0.734,2.585,continue,0.4245,Inadequate,TRUE
CD013158_pub2_data,binary,13,2698,207.5,0.1909,-0.1467,0.1456,0.313670171377366,15.9,0.0414,3660,0.737,0.17,-1.008,continue,0.3098,Inadequate,FALSE
CD013166_pub3_data,binary,124,8420,67.9,0.0188,-0.1718,0.1371,0.209991241772177,0,0,37023,0.227,0.24,-1.254,continue,0.2523,Inadequate,FALSE
CD013197_pub2_data,binary,197,22294,113.2,0.0723,-0.0867,0.0758,0.25246436803047,19.9,0.1846,11450,1.947,0.207,-1.144,continue,0.5199,Marginal,FALSE
CD013232_pub2_data,binary,1540,98432,63.9,0.0916,0.2608,0.0274,2.0691769005034e-21,12.5,0.1257,8115,12.129,1,9.501,conclusive_benefit,0.95,Adequate,TRUE
CD013255_pub2_data,binary,141,19364,137.3,0.2909,1.0309,0.1356,2.88491380136051e-14,81.1,1.6092,9512,2.036,1,7.603,conclusive_benefit,0.9052,Adequate,TRUE
CD013278_pub3_data,binary,223,37008,166,0.1377,0.1222,0.075,0.103181980373774,65.1,0.5354,12905,2.868,0.371,1.63,continue,0.6118,Marginal,FALSE
CD013284_pub2_data,binary,111,14964,134.8,0.0195,0.1038,0.1143,0.363828787227236,0,0,35675,0.419,0.146,0.908,continue,0.2493,Critical,FALSE
CD013294_pub2_data,binary,77,2958,38.4,0.0096,-0.1073,0.215,0.6178613185903,0,0,73333,0.04,0.072,-0.499,continue,0.1828,Critical,FALSE
CD013295_pub2_data,binary,916,81270,88.7,0.0398,-0.349,0.0453,1.35375879606363e-14,3.6,0.0626,17828,4.559,1,-7.701,conclusive_harm,0.9497,Adequate,TRUE
CD013303_pub2_data,binary,132,27456,208,0.099,0.323,0.1144,0.00475167679820277,26.1,0.1977,8824,3.112,0.806,2.823,conclusive_benefit,0.886,Adequate,TRUE
CD013329_pub2_data,binary,11,2040,185.5,0,-0.0686,0.6049,0.909746618186554,0,0,,,0.032,-0.113,unknown,0.3597,Inadequate,FALSE
CD013331_pub2_data,binary,40,1294,32.4,0.1462,-0.2815,0.2642,0.286643205267953,11.6,0.2969,4767,0.271,0.186,-1.066,continue,0.2412,Critical,FALSE
CD013332_pub2_data,binary,67,27169,405.5,0.0463,-0.3639,0.0879,3.47735596626942e-05,22.7,0.0913,18970,1.432,0.985,-4.14,conclusive_harm,0.827,Adequate,TRUE
CD013342_pub2_data,binary,224,12349,55.1,0.0509,0.2153,0.0926,0.0201131114593492,0,0,13308,0.928,0.642,2.324,conclusive_benefit,0.6283,Marginal,TRUE
CD013344_pub2_data,binary,97,13019,134.2,0.1402,-0.2954,0.1159,0.0107832739253292,48,0.4795,8494,1.533,0.722,-2.55,conclusive_harm,0.7642,Adequate,TRUE
CD013353_pub2_data,binary,29,1204,41.5,0,0,0.376,1,0,0,,,0.025,0,unknown,0.3575,Inadequate,FALSE
CD013355_pub2_data,binary,21,5543,264,0.0813,-0.0707,0.1482,0.633285222745846,27.2,0.0933,11102,0.499,0.069,-0.477,continue,0.2382,Critical,FALSE
CD013358_pub2_data,binary,335,22647,67.6,0.0131,0.0329,0.0848,0.697781222419526,0,0,53560,0.423,0.058,0.388,continue,0.2233,Critical,FALSE
CD013366_pub2_data,binary,140,26903,192.2,0.0977,-0.3639,0.0613,2.8303688322167e-09,15.1,0.0626,7797,3.45,1,-5.941,conclusive_harm,0.947,Adequate,TRUE
CD013377_pub2_data,binary,28,5694,203.4,0.1085,0.3519,0.2757,0.20179413097253,63.8,0.8927,16283,0.35,0.247,1.276,continue,0.2698,Inadequate,FALSE
CD013396_pub2_data,binary,129,69798,541.1,0.1657,-0.1326,0.0343,0.00011261908839052,15.2,0.0196,4292,16.263,0.971,-3.862,conclusive_harm,0.9414,Adequate,TRUE
CD013408_pub2_data,binary,54,42154,780.6,0.1087,-0.1764,0.0593,0.00294724820428676,47,0.0705,11114,3.793,0.845,-2.973,conclusive_harm,0.9019,Adequate,TRUE
CD013414_pub2_data,binary,70,66708,953,0.0782,0.4218,0.1021,3.58392625359452e-05,78.2,0.2727,38657,1.726,0.985,4.133,conclusive_benefit,0.8696,Adequate,TRUE
CD013421_pub2_data,binary,102,12119,118.8,0.2403,-0.2167,0.1539,0.159203948801092,77.8,1.2463,10420,1.163,0.29,-1.408,continue,0.4294,Inadequate,FALSE
CD013425_pub2_data,binary,285,66789,234.3,0.1953,0.0369,0.0809,0.648540161234309,86.7,1.1599,22454,2.974,0.066,0.456,futile,0.6023,Marginal,FALSE
CD013429_pub2_data,binary,107,6447,60.3,0.0521,1.011,0.1825,3.01748654798552e-08,40.1,0.9752,21676,0.297,1,5.54,conclusive_benefit,0.6287,Marginal,TRUE
CD013445_pub2_data,binary,553,57839,104.6,0.3016,0.1237,0.065,0.0569705606748414,59,0.9799,4177,13.845,0.478,1.904,continue,0.6533,Marginal,FALSE
CD013456_pub2_data,continuous,149,9903,66.5,,-0.4391,0.056,4.31202208474559e-15,83.5,0.3368,2111,4.691,1,-7.846,conclusive_harm,0.9498,Adequate,TRUE
CD013462_pub3_data,binary,117,18037,154.2,0.0853,0.3035,0.0794,0.000132103937512591,29.9,0.179,10948,1.647,0.969,3.823,conclusive_benefit,0.8546,Adequate,TRUE
CD013468_pub2_data,continuous,33,1470,44.5,,-0.6172,0.1482,3.12101531553307e-05,84.9,0.5812,2303,0.638,0.986,-4.164,conclusive_harm,0.6765,Marginal,TRUE
CD013474_pub2_data,binary,82,18489,225.5,0.0942,-0.0886,0.1058,0.402297734062749,29.1,0.152,9716,1.903,0.131,-0.838,futile,0.5728,Marginal,FALSE
CD013476_pub2_data,binary,23,597,26,0.0861,-0.4961,0.3138,0.113913582714723,0,0,7594,0.079,0.352,-1.581,continue,0.2704,Inadequate,FALSE
CD013508_pub3_data,binary,122,14661,120.2,0.0063,0.0455,0.1456,0.754520205378743,0,0,112551,0.13,0.05,0.313,continue,0.1847,Critical,FALSE
CD013539_pub2_data,binary,321,134921,420.3,0.3126,0.0199,0.0179,0.265085667661368,0,0,1629,82.803,0.199,1.114,continue,0.5697,Marginal,FALSE
CD013541_pub2_data,binary,191,13389,70.1,0.0841,-0.2661,0.0794,0.000809048319456528,0,0,7790,1.719,0.918,-3.35,conclusive_harm,0.8485,Adequate,TRUE
CD013561_pub2_data,binary,24,1294,53.9,0.3056,-0.4393,0.2411,0.0684891235625711,60.2,0.7562,4226,0.306,0.445,-1.822,continue,0.3234,Inadequate,FALSE
CD013571_pub2_data,binary,65,11711,180.2,0.1216,0.2422,0.1994,0.224401519334447,51.3,0.6227,10661,1.099,0.228,1.215,continue,0.3981,Inadequate,FALSE
CD013590_pub2_data,binary,132,9781,74.1,0.0686,-0.1467,0.1074,0.171912406674569,5.4,0.0733,10251,0.954,0.276,-1.366,continue,0.3837,Inadequate,FALSE
CD013591_pub2_data,binary,70,14433,206.2,0,-0.0454,0.2406,0.850415457011595,0,0,,,0.038,-0.189,unknown,0.3615,Inadequate,FALSE
CD013595_pub2_data,binary,66,33614,509.3,0.2271,0.3372,0.0849,7.19534326681063e-05,77.7,0.2402,11151,3.014,0.978,3.97,conclusive_benefit,0.9363,Adequate,TRUE
CD013613_pub2_data,binary,74,4428,59.8,0.112,-0.0157,0.1066,0.882884255096844,0,0,5695,0.778,0.035,-0.147,futile,0.3567,Inadequate,FALSE
CD013614_pub2_data,binary,541,183166,338.6,0.1968,0.5868,0.0529,1.32893448509084e-28,86,0.7959,21117,8.674,1,11.095,conclusive_benefit,0.95,Adequate,TRUE
CD013631_pub2_data,binary,116,4737,40.8,0.0212,0.2303,0.1459,0.114498902989889,0,0,32756,0.145,0.351,1.578,continue,0.2766,Inadequate,FALSE
CD013643_pub2_data,binary,49,3709,75.7,0.0342,0.7534,0.2606,0.00383761527771494,37,0.921,31903,0.116,0.824,2.891,continue,0.4156,Inadequate,TRUE
CD013672_pub2_data,binary,61,10580,173.4,0.5952,0.7105,0.109,7.09919784082882e-11,73.8,0.3754,2116,5.001,1,6.519,conclusive_benefit,0.9499,Adequate,TRUE
CD013707_pub2_data,binary,49,3098,63.2,0.069,0.1125,0.1662,0.498573198492069,0,0,9641,0.321,0.1,0.677,continue,0.2218,Critical,FALSE
CD013715_pub2_data,binary,91,6063,66.6,0.1997,0.7377,0.104,1.32575112671522e-12,26.9,0.2059,3981,1.523,1,7.092,conclusive_benefit,0.846,Adequate,TRUE
CD013719_pub2_data,binary,59,9704,164.5,0.0929,0.6035,0.1847,0.00108516222131221,65.3,0.9407,20148,0.482,0.904,3.267,continue,0.4861,Inadequate,TRUE
CD013726_pub2_data,continuous,37,2917,78.8,,0.1242,0.0926,0.179933804019502,82.6,0.2532,2004,1.455,0.268,1.341,continue,0.4756,Inadequate,FALSE
CD013729_pub2_data,binary,26,6453,248.2,0.0053,0.046,0.2643,0.861938888745387,0,0,133632,0.048,0.037,0.174,continue,0.173,Critical,FALSE
CD013731_pub2_data,binary,17,1129,66.4,0.3094,0.2571,0.4439,0.562548651607882,81.8,2.4011,9094,0.124,0.084,0.579,continue,0.1942,Critical,FALSE
CD013745_pub2_data,binary,51,49360,967.8,0.0454,0.1255,0.0654,0.0551207064876353,43.5,0.0762,26540,1.86,0.483,1.918,continue,0.5942,Marginal,FALSE
CD013748_pub2_data,binary,82,4659,56.8,0.2923,-0.4492,0.087,2.38736632989974e-07,15.2,0.0873,2107,2.212,0.999,-5.166,conclusive_harm,0.9172,Adequate,TRUE
CD013757_pub3_data,binary,39,28557,732.2,0.1122,-0.3859,0.0978,7.97860102023736e-05,51.2,0.1061,11650,2.451,0.976,-3.945,conclusive_harm,0.9221,Adequate,TRUE
CD013758_pub2_data,binary,345,91117,264.1,0.0062,0.0884,0.0718,0.218389084020915,0,0,113947,0.8,0.233,1.231,continue,0.3403,Inadequate,FALSE
CD013763_pub3_data,continuous,284,16913,59.6,,-0.9414,0.097,2.77487653560614e-22,96.9,2.564,11385,1.486,1,-9.708,conclusive_harm,0.8401,Adequate,TRUE
CD013764_pub2_data,binary,28,23954,855.5,0.5038,0.293,0.2343,0.21101871207545,86.2,0.881,5585,4.289,0.239,1.251,continue,0.5812,Marginal,FALSE
CD013773_pub2_data,binary,23,13510,587.4,0.0575,-0.2503,0.0854,0.0033847539261184,0,0,11700,1.155,0.834,-2.93,conclusive_harm,0.7309,Marginal,TRUE
CD013774_pub2_data,binary,43,24466,569,0.2326,-0.9114,0.1853,8.71213501448865e-07,84.8,0.6063,15861,1.542,0.998,-4.919,conclusive_harm,0.8485,Adequate,TRUE
