scenario,iter,method,est,se,ci_lb,ci_ub,true
S1_Standard_k10,55,MWM_v2,0.2356,0.0699,0.0744,0.3968,0.3
S1_Standard_k10,55,SIT_v2,0.2455,0.0709,0.082,0.409,0.3
S1_Standard_k10,55,ARP_v2,0.232,0.0694,0.0719,0.392,0.3
S1_Standard_k10,56,REML,0.267162082572459,0.0717383079534597,0.126557582671835,0.407766582473083,0.3
S1_Standard_k10,56,HKSJ,0.267162082572459,0.0706894096710798,0.107251528151049,0.427072636993869,0.3
S1_Standard_k10,56,MWM_v2,0.2741,0.072,0.1081,0.4402,0.3
S1_Standard_k10,56,SIT_v2,0.2734,0.0709,0.1099,0.437,0.3
S1_Standard_k10,56,ARP_v2,0.2671,0.0713,0.1027,0.4316,0.3
S1_Standard_k10,57,REML,0.37332136316325,0.1249349956025,0.128453271373681,0.61818945495282,0.3
S1_Standard_k10,57,HKSJ,0.37332136316325,0.124544021502542,0.0915832128375804,0.655059513488921,0.3
S1_Standard_k10,57,MWM_v2,0.387,0.1253,0.098,0.676,0.3
S1_Standard_k10,57,SIT_v2,0.4288,0.1271,0.1358,0.7218,0.3
S1_Standard_k10,57,ARP_v2,0.3733,0.1247,0.0857,0.6609,0.3
S1_Standard_k10,58,REML,0.377603310366383,0.0672844447400073,0.245728221956193,0.509478398776573,0.3
S1_Standard_k10,58,HKSJ,0.377603310366383,0.0607138792529372,0.240258973533086,0.51494764719968,0.3
S1_Standard_k10,58,MWM_v2,0.3647,0.0681,0.2078,0.5217,0.3
S1_Standard_k10,58,SIT_v2,0.3537,0.0636,0.207,0.5003,0.3
S1_Standard_k10,58,ARP_v2,0.3793,0.0633,0.2334,0.5252,0.3
S1_Standard_k10,59,REML,0.299481940260038,0.0929491224834262,0.117305007797921,0.481658872722156,0.3
S1_Standard_k10,59,HKSJ,0.299481940260038,0.0921076371526323,0.091119989126793,0.507843891393284,0.3
S1_Standard_k10,59,MWM_v2,0.2971,0.0932,0.0823,0.5119,0.3
S1_Standard_k10,59,SIT_v2,0.2992,0.0923,0.0863,0.5121,0.3
S1_Standard_k10,59,ARP_v2,0.2995,0.093,0.085,0.514,0.3
