"ma_id","review_id","analysis_id","effect_type","k","theta","se_std","se_hksj","se_ratio","ci_std_lo","ci_std_hi","ci_hksj_lo","ci_hksj_hi","ci_width_ratio","p_std","p_hksj","sig_std","sig_hksj","conclusion_changed","tau2","I2","R","R_cat","k_cat"
"CD015875_17","CD015875",17,"MD",5,1.09273397916083,1.2685552407338,1.12962695179352,0.890483059405503,-1.39358860507695,3.57905656339861,-2.04361324184578,4.22908120016745,1.26144018515124,0.389017561311486,0.388152407316999,FALSE,FALSE,FALSE,5.76142722525835,87.4395168200355,0.332494885477141,"Low","4-5"
"CD015875_18","CD015875",18,"MD",5,-0.0868351862772817,0.334538191400995,0.256563601498772,0.766918719875667,-0.7425179928764,0.568847620321836,-0.799169941830465,0.625499569275902,1.08640145567932,0.795197536948556,0.752040052257899,FALSE,FALSE,FALSE,0,0,0.633590058076099,"Moderate","4-5"
"CD015875_19","CD015875",19,"MD",4,-0.0444060123755241,0.0471982470935256,0.0311482748595272,0.659945586491918,-0.136912876812257,0.0481008520612084,-0.143533724618188,0.0547216998671398,1.07157142171281,0.346786711547518,0.249212896614631,FALSE,FALSE,FALSE,0,0,0.70678799393864,"High","4-5"
"CD015875_2","CD015875",2,"MD",11,-1.9071365054836,0.890819442048492,0.708773324533089,0.795641957368176,-3.65311052862671,-0.161162482340491,-3.48638188712725,-0.32789112383995,0.904506802913761,0.032283808886677,0.0226702362342034,TRUE,TRUE,FALSE,3.21464620241389,56.8268921360193,0.685004028266276,"Moderate","11-20"
"CD015875_20","CD015875",20,"MD",4,-0.0368878324048606,0.844233238550555,0.326265457949624,0.386463648967176,-1.69155457451556,1.61777890970584,-1.07521013359834,1.00143446878862,0.627511434640302,0.965148411392089,0.917123607445177,FALSE,FALSE,FALSE,0,0,0.68406094812576,"Moderate","4-5"
"CD015875_21","CD015875",21,"MD",6,0.45575041701034,0.786171302415228,0.474436132963805,0.603476788718019,-1.08511702140245,1.99661785542313,-0.763826488555951,1.67532732257663,0.791487233205826,0.562111012531116,0.380863866050462,FALSE,FALSE,FALSE,0,0,0.612524479268079,"Moderate","6-10"
"CD015875_22","CD015875",22,"MD",5,0.54393866153003,0.482125083984882,0.565054783528685,1.17200868052408,-0.401009139123688,1.48888646218375,-1.02490492636679,2.11278224942685,1.66024365241285,0.259230960977988,0.39024607651546,FALSE,FALSE,FALSE,4.00290040226124e-06,0.000275865962439818,0.631248007822371,"Moderate","4-5"
"CD015875_23","CD015875",23,"MD",6,-1.40645373808837,1.89401244928742,1.66975619399071,0.881597264378555,-5.1186499249622,2.30574244878546,-5.69869868030212,2.88579120412538,1.15625487612722,0.457736648808658,0.438036086449674,FALSE,FALSE,FALSE,10.5281616628125,65.0566974666992,0.729306096205896,"High","6-10"
"CD015875_24","CD015875",24,"MD",3,0.386666139636794,0.699708207623094,0.26095132825328,0.372943071712323,-0.984736746991544,1.75806902626513,-0.736116805203931,1.50944908447752,0.818711230513115,0.580530114129221,0.276598204942088,FALSE,FALSE,FALSE,0,0,0.215788031553561,"Very Low","2-3"
"CD015875_25","CD015875",25,"MD",3,-0.000564884534821944,0.0469345077926212,0.0333146208387374,0.7098108067083,-0.092554829440474,0.0914250603708301,-0.143906128827184,0.14277635975754,1.55822730885835,0.990397219678221,0.988011120399235,FALSE,FALSE,FALSE,0,0,0.0218419322865968,"Very Low","2-3"
"CD015875_26","CD015875",26,"MD",4,9.76817541647528,8.33152090580474,10.3929521234441,1.24742555902406,-6.56130549534453,26.0976563282951,-23.3068366697699,42.8431875027205,2.02547847447523,0.241022035201634,0.416614038434327,FALSE,FALSE,FALSE,128.871235013719,65.1415404097044,0.513514540927229,"Moderate","4-5"
"CD015875_27","CD015875",27,"MD",3,-0.159994424003594,0.154005113926474,0.000667880353536619,0.0043367414010387,-0.46183890073447,0.141850052727282,-0.162868081229884,-0.157120766777303,0.00952032403379879,0.298855743057671,1.74251405876123e-05,FALSE,TRUE,TRUE,0,0,0.999970002696616,"Excellent","2-3"
"CD015875_28","CD015875",28,"MD",4,2.87937893085653,0.225245334449377,0.256019056894924,1.13662312926825,2.43790618765007,3.32085167406299,2.06461202915906,3.69414583255401,1.84556558527202,2.03255850541875e-37,0.00150718596046079,TRUE,TRUE,FALSE,0,0,0.314571196670326,"Low","4-5"
"CD015875_29","CD015875",29,"MD",2,0.84141347783136,0.538531393971746,0.214159205357301,0.397672647787246,-0.214088658897412,1.89691561456013,-1.87973723157499,3.56256418723771,2.57806271983473,0.118188528942652,0.158665503507298,FALSE,FALSE,FALSE,0,0,0.999999999999385,"Excellent","2-3"
"CD015875_30","CD015875",30,"MD",4,1.25220394787668,0.149677742616485,0.059737975012512,0.399110609020721,0.958840963061119,1.54556693269225,1.06209105001299,1.44231684574038,0.648046644273206,5.96073551231832e-17,0.00023749264999243,TRUE,TRUE,FALSE,0,0,0.0785029004695041,"Very Low","4-5"
"CD015875_31","CD015875",31,"MD",4,3.49004953908566,0.152103443251383,0.130264644531358,0.856421404715136,3.19193226838842,3.7881668097829,3.07548930238775,3.90460977578358,1.39059449903166,1.64399679837091e-116,0.000114098998569232,TRUE,TRUE,FALSE,2.71796287291786e-07,4.83899081417498e-07,0.255884107153928,"Very Low","4-5"
