"dataset","file","n_rows","n_studies","n_comparisons","n_outcomes","n_subgroups","has_outcome_col","has_comparison_col","has_subgroup_col","has_review_doi_col","has_review_url_col","outcome_type","study_year_min","study_year_max","ctrl_risk_mean","ctrl_risk_median","ctrl_mean_mean","missing_study_year","missing_outcome","missing_comparison","missing_review_doi"
"CD013474_pub2_data","CD013474_pub2_data.rda",82,10,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2009,2019,0.107567749877487,0,0.0231707317073171,0,NA,NA,0
"CD013476_pub2_data","CD013476_pub2_data.rda",23,5,NA,NA,7,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2013,2021,0.0624009857419468,0,34.3360869565217,0.434782608695652,NA,NA,0
"CD013508_pub3_data","CD013508_pub3_data.rda",122,21,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2009,2021,0.00503871637042254,0,22.2311639344262,0,NA,NA,0
"CD013539_pub2_data","CD013539_pub2_data.rda",321,55,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2012,2024,0.317364480616904,0.158640226628895,0,0,NA,NA,0
"CD013541_pub2_data","CD013541_pub2_data.rda",191,25,NA,NA,8,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1992,2021,0.0900473639790189,0,15.7571465968586,0,NA,NA,0
"CD013561_pub2_data","CD013561_pub2_data.rda",24,8,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2001,2017,0.323122721139184,0.335314091680815,0,0,NA,NA,0
"CD013571_pub2_data","CD013571_pub2_data.rda",65,12,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1980,2018,0.125732874274176,0,11.9026153846154,0,NA,NA,0
"CD013590_pub2_data","CD013590_pub2_data.rda",132,22,NA,NA,111,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1970,2021,0.0608198704889881,0,16.5260606060606,0,NA,NA,0
"CD013591_pub2_data","CD013591_pub2_data.rda",70,13,NA,NA,42,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2013,2023,0,0,-2.42114285714286,0,NA,NA,0
"CD013595_pub2_data","CD013595_pub2_data.rda",66,3,NA,NA,6,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",NA,NA,0.199638430468134,0.121917808219178,1.52712121212121,1,NA,NA,0
"CD013613_pub2_data","CD013613_pub2_data.rda",74,8,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2002,2022,0.092774586639259,0,6.19702702702703,0,NA,NA,0
"CD013614_pub2_data","CD013614_pub2_data.rda",541,24,NA,NA,33,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2000,2023,0.183514505238186,0.0392156862745098,-1.41477264325323,0,NA,NA,0
"CD013631_pub2_data","CD013631_pub2_data.rda",116,29,NA,NA,16,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1992,2021,0.012803224056421,0,51.843275862069,0,NA,NA,0
"CD013643_pub2_data","CD013643_pub2_data.rda",49,9,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2018,42017,0.0430448557847706,0,7.71734693877551,0,NA,NA,0
"CD013672_pub2_data","CD013672_pub2_data.rda",61,7,NA,NA,9,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1998,2024,0.521019424599533,0.521739130434783,1.85245901639344,0,NA,NA,0
"CD013707_pub2_data","CD013707_pub2_data.rda",49,9,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2003,2021,0.0725873502284576,0,9.53135036734694,0,NA,NA,0
"CD013715_pub2_data","CD013715_pub2_data.rda",91,9,NA,NA,29,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2000,2022,0.178053959904368,0.05,513.29989010989,0,NA,NA,0
"CD013719_pub2_data","CD013719_pub2_data.rda",59,23,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1986,2022,0.149054163037214,0.0128205128205128,0.000847457627118644,0,NA,NA,0
"CD013726_pub2_data","CD013726_pub2_data.rda",82,13,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1993,2020,0.0499509540543581,0,19.2343902439024,0,NA,NA,0
"CD013729_pub2_data","CD013729_pub2_data.rda",26,5,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2003,2021,0.00243972445464983,0,2.225,0.115384615384615,NA,NA,0
"CD013731_pub2_data","CD013731_pub2_data.rda",17,6,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2002,2018,0.374116109047412,0.325581395348837,0,0.235294117647059,NA,NA,0
"CD013745_pub2_data","CD013745_pub2_data.rda",51,4,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2020,2022,0.0473408902516933,0.0330073349633252,0,0,NA,NA,0
"CD013748_pub2_data","CD013748_pub2_data.rda",82,8,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1993,2014,0.363913131631005,0.30188679245283,0,0.0487804878048781,NA,NA,0
"CD013757_pub3_data","CD013757_pub3_data.rda",39,6,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1998,2023,0.12653512874749,0.0972222222222222,0,0,NA,NA,0
"CD013758_pub2_data","CD013758_pub2_data.rda",345,11,NA,NA,16,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1986,2020,0.00661338867647478,0,12.764231884058,0,NA,NA,0
"CD013763_pub3_data","CD013763_pub3_data.rda",396,64,NA,NA,18,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2018,2021,0.0461148359378217,0,13.3908058080808,0.0227272727272727,NA,NA,0
"CD013764_pub2_data","CD013764_pub2_data.rda",28,6,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2014,2023,0.43420675019185,0.076095166163142,0,0,NA,NA,0
"CD013773_pub2_data","CD013773_pub2_data.rda",23,5,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",298,2021,0.0658183428829923,0,-0.238695652173913,0,NA,NA,0
"CD013774_pub2_data","CD013774_pub2_data.rda",48,5,NA,NA,11,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2017,2021,0.188474220116048,0,-0.593333333333333,0,NA,NA,0
"CD013781_pub2_data","CD013781_pub2_data.rda",449,29,NA,NA,33,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2002,2020,0.129713215625986,0.036144578313253,10.2853452115813,0,NA,NA,0
"CD013789_pub2_data","CD013789_pub2_data.rda",385,8,NA,NA,16,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2000,2020,0,0,9.65179220779221,0,NA,NA,0
"CD013800_pub2_data","CD013800_pub2_data.rda",140,55,NA,NA,4,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2000,2023,0.196989973021363,0.135254988913525,13.0337142857143,0,NA,NA,0
"CD013801_pub2_data","CD013801_pub2_data.rda",56,11,NA,NA,4,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1997,2025,0.041886116562315,0.03125,-2.59777777777778,0,NA,NA,0
"CD013810_pub2_data","CD013810_pub2_data.rda",34,3,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2017,2018,0,0,1.60911764705882,0,NA,NA,0
"CD013816_pub2_data","CD013816_pub2_data.rda",90,9,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2009,2019,0.0222894641167963,0,0.923111111111111,0,NA,NA,0
"CD013821_pub2_data","CD013821_pub2_data.rda",90,35,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1994,2021,0.131597899619386,0.0831136220966729,27.9401111111111,0,NA,NA,0
"CD013822_pub2_data","CD013822_pub2_data.rda",90,14,NA,NA,34,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2002,2022,0.208503172776437,0,5.97477777777778,0,NA,NA,0
"CD013823_pub2_data","CD013823_pub2_data.rda",26,4,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1965,2016,0.148146502763502,0,60.4757692307692,0,NA,NA,0
"CD013827_pub2_data","CD013827_pub2_data.rda",145,13,NA,NA,64,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2017,2021,0.0878865466257099,0,162.595172413793,0,NA,NA,0
"CD013830_pub2_data","CD013830_pub2_data.rda",150,18,NA,NA,14,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1981,2016,0.241280128815595,0.167301587301587,2.1412,0,NA,NA,0
"CD013834_pub2_data","CD013834_pub2_data.rda",86,21,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2013,2022,0,0,2.0891976744186,0.790697674418605,NA,NA,0
"CD013835_pub2_data","CD013835_pub2_data.rda",4,3,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2007,2018,NA,NA,0,0,NA,NA,0
"CD013844_pub2_data","CD013844_pub2_data.rda",100,33,NA,NA,10,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1992,2021,0.0518469853588839,0,6.6537,0,NA,NA,0
"CD013853_pub2_data","CD013853_pub2_data.rda",47,11,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2014,2023,0.0318648474933469,0,-0.512553191489362,0,NA,NA,0
"CD013857_pub2_data","CD013857_pub2_data.rda",3,1,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2002,2002,0.346666666666667,0.12,0,0,NA,NA,0
